epoch,relu-lr1e-2-train,gelu-lr1e-2-train,silu-lr1e-2-train,relu-lr1e-3-train,gelu-lr1e-3-train,silu-lr1e-3-train,relu-lr1e-4-train,gelu-lr1e-4-train,silu-lr1e-4-train,relu-lr1e-5-train,gelu-lr1e-5-train,silu-lr1e-5-train,zailusigma0.1-lr1e-2-train,zailusigma0.5-lr1e-2-train,zailusigma1.0-lr1e-2-train,zailusigma5.0-lr1e-2-train,zailusigma10.0-lr1e-2-train,zailuapproxsigma0.1-lr1e-2-train,zailuapproxsigma0.5-lr1e-2-train,zailuapproxsigma1.0-lr1e-2-train,zailuapproxsigma5.0-lr1e-2-train,zailuapproxsigma10.0-lr1e-2-train,zailusigma0.1-lr1e-3-train,zailusigma0.5-lr1e-3-train,zailusigma1.0-lr1e-3-train,zailusigma5.0-lr1e-3-train,zailusigma10.0-lr1e-3-train,zailuapproxsigma0.1-lr1e-3-train,zailuapproxsigma0.5-lr1e-3-train,zailuapproxsigma1.0-lr1e-3-train,zailuapproxsigma5.0-lr1e-3-train,zailuapproxsigma10.0-lr1e-3-train,zailusigma0.1-lr1e-4-train,zailusigma0.5-lr1e-4-train,zailusigma1.0-lr1e-4-train,zailusigma5.0-lr1e-4-train,zailusigma10.0-lr1e-4-train,zailuapproxsigma0.1-lr1e-4-train,zailuapproxsigma0.5-lr1e-4-train,zailuapproxsigma1.0-lr1e-4-train,zailuapproxsigma5.0-lr1e-4-train,zailuapproxsigma10.0-lr1e-4-train,zailusigma0.1-lr1e-5-train,zailusigma0.5-lr1e-5-train,zailusigma1.0-lr1e-5-train,zailusigma5.0-lr1e-5-train,zailusigma10.0-lr1e-5-train,zailuapproxsigma0.1-lr1e-5-train,zailuapproxsigma0.5-lr1e-5-train,zailuapproxsigma1.0-lr1e-5-train,zailuapproxsigma5.0-lr1e-5-train,zailuapproxsigma10.0-lr1e-5-train
1,4.44486046,4.52479095,4.60596779,4.12367973,4.22917738,4.46783984,4.02051114,4.06903616,4.04260326,4.63975694,4.66729016,4.66988014,4.69773634,4.61354366,4.55219491,4.46407914,4.56237525,4.63244064,4.54739891,4.55986211,4.54578368,4.47159563,4.27283613,4.47650588,4.39703133,4.17701968,4.10498046,4.37149992,4.43741876,4.47731806,4.11424849,4.16051662,3.86133256,4.15309452,4.01160908,4.02774416,4.01293165,3.83692604,4.02049362,4.00849658,4.00736973,4.00779918,4.03000216,4.61040777,4.57851684,4.61327552,4.62421402,4.04769647,4.57936742,4.57599485,4.61588513,4.60277819
2,3.96975815,4.0948787,4.12155857,3.5847308,3.67145597,4.10227555,3.47599682,3.50632106,3.42991072,4.22887995,4.28797281,4.45849743,4.33812706,4.11809394,4.1305677,3.9900446,4.1593429,4.33170325,4.13098817,4.15555416,4.02247608,4.03766981,4.08865311,4.34232003,3.99477194,3.69586487,3.55594619,4.13011448,4.28505207,4.05372043,3.55651715,3.59322326,3.50404605,3.5183342,3.401761,3.47761646,3.4512434,3.43377252,3.42409544,3.39926684,3.44189412,3.4511242,3.61410319,4.25067418,4.13291152,4.1956794,4.21648589,3.60612577,4.0773983,4.10902791,4.21553212,4.17239786
3,3.74193462,3.83590028,3.94695836,3.22793565,3.27987524,3.81762728,3.20561568,3.20254148,3.13916981,3.9805134,4.02585665,4.09258408,4.17441712,3.90414629,3.82374932,3.73272482,3.93064444,4.27383304,3.8799981,3.89822762,3.75075003,3.81351574,3.97127085,4.1969782,3.65313393,3.37656119,3.21506501,3.97363425,4.15233979,3.79476392,3.19106574,3.1972859,3.29370563,3.17686302,3.09848957,3.19276821,3.1836131,3.21055341,3.14396056,3.09098181,3.1441367,3.15234839,3.42256623,3.83398261,3.85433223,3.97009444,4.00794792,3.40493058,3.73896432,3.82199568,3.95648563,3.9529565
4,3.51046166,3.56723114,3.82183622,2.94915622,2.99648921,3.51016014,2.9991785,2.98977564,2.92798561,3.83138342,3.86392993,3.8783062,4.10274357,3.69029884,3.59588538,3.53558033,3.73685986,4.16029493,3.68703953,3.65364975,3.52019425,3.58375897,3.88295802,3.95877174,3.33039036,3.10066869,2.92931241,3.88561576,4.05084871,3.50739366,2.95697984,2.92624689,3.1658153,2.96930321,2.90792271,2.98730738,2.9876949,3.08363941,2.95037175,2.89922743,2.95449982,2.94646929,3.29580586,3.61542335,3.67682505,3.83079193,3.85579835,3.27000075,3.55414399,3.65116988,3.79994113,3.8100218
5,3.35051722,3.37135585,3.64312626,2.74455571,2.79299472,3.22435592,2.83133224,2.80902936,2.77177594,3.71345248,3.74337707,3.73316486,4.01122869,3.47717639,3.46658356,3.39582962,3.53057076,3.97382523,3.47497561,3.42236081,3.33630185,3.36161852,3.79022424,3.73412525,3.08673286,2.88785048,2.74818154,3.81156123,3.87110851,3.26465896,2.78748657,2.73790656,3.06906429,2.81124566,2.74978942,2.8102436,2.82770996,2.98256644,2.80650834,2.75591651,2.79626527,2.79331226,3.18861904,3.46255382,3.5431445,3.71734945,3.73839097,3.1664634,3.4213468,3.51660021,3.68013168,3.70217838
6,3.1779619,3.23565411,3.52704126,2.59306598,2.62820176,3.01981141,2.70460099,2.66073272,2.64192065,3.61679232,3.6347038,3.61527285,3.87178414,3.27472673,3.24710771,3.23730953,3.35443627,3.80623661,3.32304995,3.22109803,3.18566828,3.21866786,3.70123466,3.53644337,2.88346506,2.727419,2.59027419,3.68956019,3.64292792,3.03877154,2.63066539,2.58608373,2.98511233,2.68537526,2.62660785,2.67028915,2.69600518,2.90107355,2.68452765,2.63567005,2.66846922,2.66537365,3.10658804,3.33340512,3.42982254,3.61918999,3.6392891,3.07152162,3.31402838,3.40778454,3.58226486,3.61040914
7,3.02741322,3.14299084,3.39453342,2.4724074,2.50639013,2.84445381,2.60223577,2.55384479,2.53905114,3.54103156,3.55416419,3.52307703,3.73880659,3.12010304,3.12215238,3.10536988,3.2074685,3.62387244,3.19571373,3.06530739,3.05829592,3.06694208,3.62823242,3.34421201,2.74117472,2.59274506,2.46179428,3.59243079,3.45928768,2.88020845,2.49677128,2.45778893,2.91831783,2.58914078,2.52333745,2.5682186,2.59296561,2.83159362,2.59936776,2.53942598,2.56427091,2.56545906,3.04148123,3.24406467,3.34200158,3.53544807,3.56316325,3.00521735,3.23456569,3.32549183,3.50347922,3.53782604
8,2.91548841,3.00890516,3.31797195,2.40734949,2.39103078,2.70271276,2.50892978,2.45235687,2.44521804,3.4684205,3.46237818,3.42992557,3.57316272,2.98478921,3.02175352,3.0039598,3.10696129,3.44846964,3.05668326,2.92219075,2.95756861,2.96840898,3.54056425,3.16674928,2.61350925,2.46742711,2.34361894,3.50622565,3.25304501,2.72929154,2.39055944,2.34745528,2.86022424,2.4942411,2.42639468,2.46733206,2.49773229,2.77948342,2.5100477,2.44890939,2.46856786,2.46952213,2.98104392,3.16105291,3.25907807,3.4492475,3.48443564,2.93963992,3.15539237,3.24164037,3.42339967,3.45909545
9,2.81039183,2.91062329,3.19424976,2.28843161,2.29373259,2.58424613,2.42732605,2.37026709,2.35557951,3.40571834,3.39499515,3.36282803,3.42623134,2.87910029,2.93220881,2.91827496,2.9931627,3.30689502,2.93488449,2.79890096,2.84107824,2.85644166,3.47352494,3.01720772,2.50689848,2.36037896,2.24763297,3.42847972,3.06976628,2.61881948,2.28659412,2.2567926,2.80501946,2.41590037,2.35218207,2.38572612,2.40998726,2.71681589,2.42505157,2.36852393,2.37974875,2.38814656,2.93000608,3.08856028,3.19255116,3.39230478,3.42051726,2.88412072,3.09098619,3.1799852,3.36190854,3.39440379
10,2.69914198,2.81218453,3.0824005,2.18209877,2.20022823,2.47877187,2.34480293,2.28128293,2.27632579,3.34341583,3.32567827,3.28864727,3.28228177,2.76602715,2.84185136,2.79238579,2.87569834,3.16801979,2.83761066,2.72403229,2.72859223,2.76704822,3.42321805,2.86132882,2.41059046,2.27111904,2.15603134,3.35995739,2.9041092,2.50833358,2.19975817,2.16595133,2.74249883,2.33790924,2.26906389,2.30298311,2.32846396,2.65798839,2.35561849,2.286932,2.2991965,2.31417177,2.87659308,3.01857905,3.12322257,3.31752915,3.35433952,2.83140715,3.02116747,3.10665921,3.2970558,3.33228011
11,2.60398302,2.75506337,3.00376399,2.10767097,2.11556027,2.37848667,2.27641255,2.20221462,2.19977906,3.29688336,3.27278322,3.23223549,3.17241092,2.69129206,2.76283689,2.70621299,2.78418121,3.07764827,2.75618407,2.67202248,2.64978825,2.70181015,3.37021666,2.74967755,2.31198044,2.1887127,2.07751997,3.28464027,2.7749287,2.41883767,2.1123411,2.09678729,2.70630522,2.27749425,2.20414746,2.23259211,2.25850182,2.62087965,2.2930229,2.22772532,2.22982331,2.24646323,2.84146851,2.96541536,3.07427056,3.26634926,3.30933384,2.79701457,2.97165854,3.06110888,3.24634287,3.2819348
12,2.51988904,2.66325131,2.93315605,2.01370429,2.02901738,2.29224749,2.19343637,2.12271706,2.11707904,3.24381435,3.21011159,3.16832359,3.06407844,2.62843276,2.67382291,2.63287452,2.68840869,2.96926634,2.6731517,2.59143434,2.63132158,2.62631381,3.29320801,2.63254829,2.22097288,2.09095809,1.99534609,3.19357907,2.6564489,2.32110952,2.0325037,2.00294942,2.65796761,2.19522816,2.12613676,2.15891816,2.18037952,2.57126584,2.21152439,2.15285835,2.14915833,2.16573784,2.79838092,2.90410072,3.01660521,3.20714532,3.25278372,2.74723321,2.91775271,2.99430858,3.19404861,3.22042274
13,2.43146092,2.59370394,2.85264003,1.94509785,1.95117847,2.20793364,2.13827974,2.04925757,2.05656311,3.20259499,3.15690903,3.11514016,2.98296903,2.54669994,2.5866827,2.5674657,2.60066065,2.90550345,2.61471892,2.50757864,2.55153925,2.54235085,3.2241816,2.53049448,2.14898516,2.02255104,1.9202971,3.1185578,2.56683999,2.24356084,1.95716184,1.93234227,2.61449287,2.1482429,2.06710406,2.09055587,2.11962525,2.52709334,2.16142981,2.09786687,2.08747452,2.10410146,2.76433257,2.85001618,2.96914228,3.16772339,3.20766983,2.71478875,2.86368664,2.94513011,3.14721491,3.17723326
14,2.37058198,2.53836824,2.78201933,1.87635991,1.87780769,2.12601145,2.07608766,1.98120932,1.98877207,3.1600858,3.11915219,3.06918256,2.91380205,2.47420883,2.53917006,2.50128417,2.53269721,2.82221398,2.55799277,2.45445528,2.50346779,2.47923649,3.17173393,2.44922671,2.07724624,1.94177327,1.85360556,3.05557442,2.47970825,2.17039525,1.89005398,1.86785105,2.58473527,2.09170078,2.00726049,2.02655161,2.05945659,2.49215558,2.10202639,2.03045469,2.02821758,2.03883053,2.72970848,2.80262779,2.91727083,3.12121271,3.16258116,2.6734002,2.81244713,2.90511739,3.10444674,3.13755622
15,2.31932599,2.51155505,2.76542198,1.8290882,1.82385156,2.06846143,2.02475621,1.92214894,1.93842763,3.11750735,3.06989894,3.02278013,2.8521603,2.42009508,2.49341049,2.44884632,2.47202437,2.76589261,2.49820545,2.40725326,2.45002067,2.44850725,3.11679355,2.37279824,2.02038159,1.87200434,1.80550364,2.99965982,2.40984155,2.11017676,1.83075487,1.81106562,2.54765698,2.04714796,1.96241913,1.98578151,2.00646568,2.46134084,2.05728272,1.98919095,1.97293603,1.99062471,2.7068692,2.76083022,2.87902557,3.07698168,3.13011812,2.64685851,2.77390671,2.85806285,3.05667602,3.09758305
16,2.24861412,2.43997236,2.71843419,1.75049155,1.75529377,1.99732082,1.9570731,1.85484463,1.87563189,3.07740651,3.02566994,2.97415091,2.78826073,2.35300811,2.42355304,2.37339027,2.40519497,2.69716121,2.43592708,2.35358721,2.38870494,2.37475936,3.06085738,2.29702437,1.94859633,1.79275592,1.74318717,2.92999745,2.34267538,2.03471727,1.77273289,1.74138795,2.51233443,1.98960254,1.90328763,1.91422576,1.94108037,2.41874705,2.00242276,1.93067314,1.91154768,1.92620848,2.67099395,2.70917721,2.83085202,3.03458531,3.08382357,2.61094031,2.72793898,2.80471962,3.01794829,3.04787452
17,2.20167113,2.40343331,2.64932609,1.69853534,1.69119107,1.92692107,1.90672934,1.79324563,1.81022032,3.03141975,2.98331751,2.92445496,2.72926502,2.30545371,2.37326582,2.31945492,2.33427289,2.6480119,2.39597815,2.29366216,2.36824416,2.31074874,3.00662575,2.22552594,1.88571175,1.72364825,1.66535188,2.86488046,2.26617943,1.97237841,1.70141847,1.67418106,2.47174038,1.93906177,1.8469422,1.86023736,1.8809455,2.38240076,1.9552194,1.87588552,1.85846353,1.87063723,2.63709001,2.66855184,2.78922334,2.99484494,3.04922981,2.57742473,2.68282859,2.75511654,2.97660381,3.00283212
18,2.14911237,2.33463576,2.59584872,1.62458435,1.64305494,1.86941898,1.85508169,1.73659793,1.76303148,2.99172753,2.93507354,2.88617691,2.67995365,2.26111497,2.31463482,2.27098549,2.29325586,2.59673732,2.35179859,2.29161751,2.29796469,2.26872308,2.95943018,2.1587609,1.8254452,1.66693032,1.61729211,2.7996344,2.20711987,1.91110806,1.64734798,1.61795928,2.44522459,1.8912905,1.7992928,1.81643717,1.83617899,2.3532858,1.90546424,1.82695639,1.80093769,1.81967866,2.60982109,2.62274777,2.74806102,2.95356482,3.007185,2.54620214,2.63837427,2.71069972,2.93408216,2.96511497
19,2.11894656,2.29179239,2.54648903,1.57173372,1.56592116,1.81117771,1.81334156,1.68444544,1.70699994,2.96581427,2.90232074,2.84984692,2.64295563,2.23312593,2.27572975,2.22048602,2.24502532,2.56615438,2.31622029,2.23864114,2.26007839,2.21929257,2.91192419,2.10658313,1.76619756,1.60339169,1.55872993,2.7533547,2.14931551,1.85706082,1.58698322,1.55616921,2.41684521,1.85785729,1.75458807,1.75714534,1.78366002,2.32391497,1.86696209,1.78898782,1.75186916,1.76903167,2.58873728,2.59201226,2.71326964,2.92159101,2.97469832,2.52404892,2.60937967,2.67943466,2.90061505,2.9345283
