epoch,relu_1e-2_train_loss,gelu_1e-2_train_loss,silu_1e-2_train_loss,relu_1e-3_train_loss,gelu_1e-3_train_loss,silu_1e-3_train_loss,relu_1e-4_train_loss,gelu_1e-4_train_loss,silu_1e-4_train_loss,relu_1e-5_train_loss,gelu_1e-5_train_loss,silu_1e-5_train_loss,zilu_sigma0.1_lr1e-2_train_loss,zilu_sigma0.5_lr1e-2_train_loss,zilu_sigma1.0_lr1e-2_train_loss,zilu_sigma5.0_lr1e-2_train_loss,zilu_sigma10.0_lr1e-2_train_loss,zilu_approx_sigma0.1_lr1e-2_train_loss,zilu_approx_sigma0.5_lr1e-2_train_loss,zilu_approx_sigma1.0_lr1e-2_train_loss,zilu_approx_sigma5.0_lr1e-2_train_loss,zilu_approx_sigma10.0_lr1e-2_train_loss,zilu_sigma0.1_lr1e-3_train_loss,zilu_sigma0.5_lr1e-3_train_loss,zilu_sigma1.0_lr1e-3_train_loss,zilu_sigma5.0_lr1e-3_train_loss,zilu_sigma10.0_lr1e-3_train_loss,zilu_approx_sigma0.1_lr1e-3_train_loss,zilu_approx_sigma0.5_lr1e-3_train_loss,zilu_approx_sigma1.0_lr1e-3_train_loss,zilu_approx_sigma5.0_lr1e-3_train_loss,zilu_approx_sigma10.0_lr1e-3_train_loss,zilu_sigma0.1_lr1e-4_train_loss,zilu_sigma0.5_lr1e-4_train_loss,zilu_sigma1.0_lr1e-4_train_loss,zilu_sigma5.0_lr1e-4_train_loss,zilu_sigma10.0_lr1e-4_train_loss,zilu_approx_sigma0.1_lr1e-4_train_loss,zilu_approx_sigma0.5_lr1e-4_train_loss,zilu_approx_sigma1.0_lr1e-4_train_loss,zilu_approx_sigma5.0_lr1e-4_train_loss,zilu_approx_sigma10.0_lr1e-4_train_loss,zilu_sigma0.1_lr1e-5_train_loss,zilu_sigma0.5_lr1e-5_train_loss,zilu_sigma1.0_lr1e-5_train_loss,zilu_sigma5.0_lr1e-5_train_loss,zilu_sigma10.0_lr1e-5_train_loss,zilu_approx_sigma0.1_lr1e-5_train_loss,zilu_approx_sigma0.5_lr1e-5_train_loss,zilu_approx_sigma1.0_lr1e-5_train_loss,zilu_approx_sigma5.0_lr1e-5_train_loss,zilu_approx_sigma10.0_lr1e-5_train_loss
1,2.0486657,2.08935294,2.19245363,1.7390377,1.7584864,1.89302642,1.75622852,1.74591706,1.72408949,2.17629778,2.14522608,2.26246622,2.39211987,2.27401535,2.16476507,2.01172034,2.17932879,2.22548042,2.18466311,2.14493961,2.06172854,2.03939169,1.98512233,1.97178156,1.82748754,1.74472059,1.80925976,1.95943801,1.87986884,1.92771393,1.779998,1.76626149,1.64124948,1.74660174,1.67560197,1.73457134,1.73133917,1.60372292,1.68472558,1.66513682,1.71340109,1.7350167,1.69104474,2.19380642,2.08090809,2.10348285,2.14370245,1.71073926,2.05213455,2.01663092,2.11840243,2.1315132
2,1.57540259,1.64211032,1.80870728,1.35979488,1.36513978,1.51938524,1.38710169,1.35993764,1.33557332,1.89507377,1.8662827,1.91159064,2.01082531,1.81737782,1.69571471,1.53311775,1.65993155,1.89724533,1.8118944,1.7298566,1.61885535,1.61871652,1.8202816,1.6420915,1.46525096,1.37608411,1.41336585,1.75499161,1.55733386,1.55899837,1.42173405,1.36680201,1.40228786,1.32408703,1.3099891,1.36481801,1.35280496,1.36733519,1.32330923,1.31011795,1.35688994,1.37274738,1.48732412,1.77104963,1.76098293,1.86805912,1.86894779,1.48144306,1.67089543,1.7049358,1.84790931,1.88145341
3,1.36419133,1.38448399,1.63702396,1.12298398,1.16068203,1.25086696,1.22733087,1.19186395,1.17543722,1.78393693,1.73521916,1.73536842,1.92400675,1.62982343,1.51333699,1.3211464,1.43365869,1.76893068,1.61354931,1.50454487,1.39524158,1.42063164,1.6961371,1.38068755,1.22613027,1.16663844,1.19630674,1.59185715,1.31646536,1.31386325,1.18644742,1.13832717,1.29287094,1.16740226,1.15969369,1.20299907,1.19741523,1.25293129,1.1715825,1.14930191,1.19706429,1.21734547,1.40544142,1.59673782,1.63834731,1.74784806,1.75504465,1.39258539,1.54821028,1.58348922,1.7228384,1.77098076
4,1.20140326,1.24687272,1.51013751,0.99858148,1.04108913,1.09429563,1.11289821,1.09114927,1.07937286,1.69859035,1.65412034,1.63430184,1.84618706,1.41375671,1.36339559,1.16991665,1.28210268,1.6072797,1.46081623,1.34569428,1.22543002,1.25058772,1.61908667,1.2154415,1.06706366,1.03268243,1.05529966,1.47363553,1.16350254,1.15424529,1.03618018,1.00724771,1.21053989,1.0710848,1.06104641,1.09632982,1.09273711,1.17829195,1.0829015,1.05119349,1.09478216,1.112137,1.34874009,1.49945042,1.55453951,1.65915649,1.66607432,1.33026046,1.453034,1.49935508,1.63683441,1.67664065
5,1.07414839,1.11121702,1.35958715,0.91193013,0.94238264,0.98057543,1.03681872,1.01295491,0.99384145,1.63674432,1.58467953,1.5558564,1.76369864,1.26550897,1.25802726,1.0736772,1.12675901,1.45281624,1.33453838,1.17777694,1.10025083,1.14266959,1.50859157,1.09663012,0.97083426,0.93015362,0.95213833,1.38328597,1.05819665,1.04250322,0.93501522,0.92926192,1.15883213,0.9959694,0.98791406,1.01479094,1.01939894,1.12427865,1.01075931,0.97663243,1.02265784,1.02515033,1.3035586,1.42381419,1.48672783,1.5929089,1.60174036,1.27942435,1.38977914,1.43608967,1.56438291,1.6051252
6,0.98656413,1.03317594,1.22410046,0.84539194,0.8691665,0.89977642,0.97693383,0.9538702,0.9335024,1.58646213,1.53193775,1.49543287,1.65649164,1.15882628,1.14587218,0.99595511,1.05644484,1.34257552,1.21308115,1.09343378,1.01213752,1.0709684,1.43263441,1.00251961,0.8959619,0.85743975,0.87741749,1.29730553,0.97412973,0.95883002,0.87495765,0.85461387,1.11622812,0.94027911,0.92629441,0.95498882,0.96087072,1.07550556,0.95382165,0.91837654,0.96173785,0.96732767,1.26343062,1.36321529,1.42814593,1.53721676,1.54931401,1.24406047,1.33554686,1.38449914,1.50928183,1.5469917
7,0.92029141,0.96412921,1.11943349,0.78649206,0.80521501,0.83667838,0.93190185,0.90053726,0.88695796,1.53602274,1.48563764,1.45217589,1.52565451,1.06771262,1.05398004,0.98513936,0.98446714,1.25787507,1.15030881,1.02377927,0.9325797,0.99598464,1.3535034,0.93619184,0.84016827,0.80742584,0.81824698,1.24012003,0.9196391,0.9006482,0.80570024,0.79898499,1.08362093,0.89358677,0.8780946,0.90369101,0.9092527,1.04442111,0.90386033,0.86805652,0.90487171,0.91255623,1.23758773,1.32138444,1.38678657,1.49147313,1.50034852,1.21008761,1.29505633,1.33964757,1.46377439,1.50272537
8,0.86059885,0.8842232,1.03191173,0.74212145,0.74873967,0.78373154,0.88317676,0.85247931,0.83864988,1.48926739,1.43527037,1.40322695,1.41395545,0.98641504,0.99288781,0.90783236,0.89719139,1.18104243,1.06548678,0.97175464,0.87399473,0.91352543,1.28148004,0.86892249,0.78455773,0.74380827,0.76773853,1.18155094,0.86284347,0.83782179,0.75382917,0.74779317,1.04577395,0.84774288,0.8337048,0.86240497,0.86143638,1.00485814,0.85756312,0.83034745,0.86338169,0.86442522,1.20374272,1.27184728,1.3414509,1.44686559,1.45859085,1.1710741,1.24985089,1.29579737,1.42098292,1.45340457
9,0.81858407,0.85163335,0.98065904,0.71156737,0.71276727,0.7434258,0.84624514,0.81814692,0.80392631,1.45564015,1.4023691,1.3654491,1.34224429,0.952333,0.9370461,0.8583859,0.85346405,1.12885824,1.01489431,0.94410257,0.83742841,0.87740709,1.24361518,0.83208959,0.74525484,0.71212057,0.73017168,1.15154207,0.8245158,0.79275143,0.71933278,0.71610422,1.01890651,0.81858877,0.79722324,0.821038,0.83375356,0.97790772,0.82749701,0.7937065,0.83221212,0.83360758,1.18414267,1.24202321,1.30690815,1.41901103,1.42200983,1.15475787,1.22093048,1.27014897,1.38763746,1.42356322
10,0.78679211,0.82088435,0.90567807,0.68146745,0.67606168,0.71242223,0.81572094,0.78913998,0.77617402,1.42457321,1.3642629,1.33388404,1.27171429,0.88725852,0.91742632,0.85094892,0.81028852,1.08273022,0.97041548,0.87995891,0.79668902,0.8323694,1.20431603,0.78838205,0.71599722,0.68275499,0.70061112,1.10788444,0.78549867,0.76053047,0.68494813,0.68317508,0.98989515,0.79241157,0.76903008,0.79461408,0.80057475,0.95629646,0.80253199,0.76620115,0.80253093,0.80339827,1.16181391,1.20963657,1.2721043,1.38628065,1.39036797,1.12701837,1.1901,1.238608,1.35370705,1.3856907
