epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
1,1.8641712,1.90162763,2.01194717,2.00591834,1.8622939,1.73950662,1.74282697,1.74073653,1.71790751,1.72977927
2,1.68285027,1.78249847,1.82222967,1.64356851,1.4647874,1.34337685,1.39324121,1.37192945,1.33916224,1.34633507
3,1.62322356,1.72462251,1.71879421,1.41530245,1.24319903,1.14111108,1.14759097,1.15623471,1.14028443,1.1449178
4,1.59150904,1.68749979,1.57880212,1.24232156,1.09622606,1.01355297,1.01359291,1.02773867,1.01561176,1.01663644
5,1.56543465,1.60629712,1.47569702,1.11290992,0.98922622,0.91833741,0.92106139,0.94596586,0.92207518,0.93073194
6,1.51192097,1.49422847,1.4154735,1.02149437,0.91085938,0.83894346,0.84904999,0.87503481,0.8488434,0.85417267
7,1.46560643,1.40471493,1.33471561,0.95082814,0.84447415,0.78178325,0.79465259,0.81271718,0.79622916,0.8030228
8,1.44036262,1.35310974,1.26555011,0.88394292,0.78526482,0.73091916,0.74503488,0.76131843,0.75039846,0.7468302
9,1.4243773,1.32093916,1.23196085,0.84823733,0.74510498,0.69402945,0.70611858,0.71926185,0.70983431,0.71315944
10,1.41057126,1.28900536,1.19956762,0.80699013,0.72084166,0.67648434,0.67687442,0.68847584,0.68804095,0.6839444
11,1.39688644,1.2582062,1.16270648,0.77704627,0.68659561,0.64022543,0.64443096,0.65742542,0.66024204,0.65315621
12,1.38761064,1.24445254,1.13000319,0.73795208,0.65634993,0.61583998,0.62094628,0.62188089,0.62867879,0.62270641
13,1.37178651,1.22066884,1.09449164,0.71305493,0.6299386,0.58414154,0.5975951,0.60157426,0.60416158,0.60509326
14,1.36609017,1.20507185,1.06653747,0.69052243,0.60662499,0.56984729,0.5785014,0.58120103,0.5823309,0.5815407
15,1.35303643,1.19039475,1.04166284,0.66627753,0.58936847,0.54790799,0.55991515,0.56134515,0.56514883,0.56114834
16,1.32826294,1.17139765,1.01616841,0.64085424,0.56951996,0.52913812,0.53772991,0.53926731,0.55274706,0.5426228
17,1.32607384,1.16075614,0.99844312,0.62249934,0.54988786,0.51067601,0.5221146,0.52650079,0.53168359,0.5246023
18,1.30996933,1.136068,0.97319595,0.60729791,0.53916753,0.502132,0.5116698,0.51501797,0.51661492,0.51432292
19,1.29642554,1.11331472,0.95565191,0.58795235,0.52051392,0.47852023,0.49135777,0.49461304,0.50282613,0.49364618
20,1.28575916,1.08885065,0.93545106,0.57687566,0.50951452,0.46800187,0.48169374,0.48207687,0.48228793,0.48941866
21,1.2734807,1.08117738,0.91942468,0.56534273,0.49396269,0.45373467,0.4707955,0.47132731,0.47663913,0.47031505
22,1.25316007,1.06300229,0.90122841,0.54453394,0.47848029,0.44297351,0.4562433,0.45563386,0.4628356,0.46036719
23,1.2441364,1.05156507,0.8867243,0.53575282,0.46625629,0.42900115,0.44432885,0.44304669,0.45062316,0.44429092
24,1.23253819,1.04008058,0.86892807,0.52431701,0.45949397,0.41570896,0.43695058,0.43548287,0.43892524,0.43842969
25,1.22259957,1.02331286,0.85245768,0.51071862,0.44578194,0.41104353,0.42377231,0.42408003,0.42695057,0.4274764
26,1.21874524,1.00992725,0.83511394,0.50266254,0.4364187,0.40244101,0.4101047,0.41548137,0.42022625,0.41799145
27,1.20791715,0.99115481,0.81600554,0.48667886,0.42152168,0.38444297,0.40018519,0.3969345,0.41237188,0.40774782
28,1.19608659,0.98005529,0.80342193,0.47836015,0.41398926,0.37609203,0.39573646,0.39047437,0.4005709,0.39669138
29,1.19273271,0.97105623,0.79476951,0.46656173,0.40110923,0.3688426,0.38695802,0.38911168,0.39082704,0.38962115
30,1.19178519,0.9628378,0.79127251,0.45939816,0.39741598,0.36056717,0.37699754,0.37574125,0.38455923,0.38280287
31,1.18579931,0.95180328,0.77513715,0.45295966,0.38832827,0.35595768,0.37029639,0.37189865,0.37572807,0.37906032
32,1.17887928,0.94201597,0.76409389,0.4418617,0.38063567,0.34256884,0.35890953,0.35858011,0.3660235,0.36661282
33,1.17300276,0.92929922,0.75151874,0.4300419,0.36790204,0.33345618,0.35116954,0.3496651,0.35605156,0.35667968
34,1.16330767,0.91828906,0.74163787,0.42351734,0.36068831,0.33106251,0.34222732,0.34433296,0.35142808,0.34613072
35,1.16204354,0.90626702,0.73568167,0.41604487,0.35637925,0.32403447,0.33932569,0.33948658,0.34695509,0.34576738
36,1.15900315,0.89938683,0.72720773,0.40873239,0.34661589,0.31476816,0.33317553,0.3353385,0.33755542,0.33841849
