epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
1,1.8880543,1.96704356,2.20926982,1.91367913,1.74938373,1.73341341,1.71298439,1.73536275,1.72661148,1.7397236
2,1.78091341,1.80838794,1.96789443,1.5563373,1.34386953,1.35727145,1.33937886,1.35432063,1.3458297,1.36023189
3,1.74841828,1.74308388,1.85373745,1.2830278,1.13488303,1.1492774,1.12911607,1.1382399,1.13147618,1.16302122
4,1.72241439,1.66821996,1.78563265,1.09404175,1.0045412,1.01976303,0.99890794,1.01749022,1.0103346,1.03988156
5,1.66256431,1.54233389,1.68626249,0.97697198,0.89993964,0.91266062,0.90360389,0.92164246,0.91792684,0.93595191
6,1.59851705,1.43887204,1.60186004,0.89750128,0.83517257,0.84853265,0.8343996,0.84832392,0.84403215,0.86870533
7,1.55931344,1.36451802,1.49932962,0.8321071,0.77466478,0.7939866,0.78529658,0.79700633,0.78657901,0.80754012
8,1.53635993,1.32813821,1.41301541,0.79003662,0.72510508,0.7475717,0.73678244,0.75440518,0.74674403,0.76561068
9,1.52020062,1.28175994,1.32190437,0.74111262,0.69404537,0.70924954,0.69819753,0.71849395,0.70959713,0.72391969
10,1.50577751,1.25120606,1.25736156,0.71029855,0.65555401,0.67838192,0.67381441,0.6912413,0.68029771,0.69280903
11,1.4933797,1.22897884,1.20981051,0.67589995,0.62167973,0.65087692,0.64044565,0.65265384,0.64702407,0.66491498
12,1.48096605,1.19856301,1.15809461,0.64150615,0.59420665,0.61965226,0.61333498,0.62685458,0.61956196,0.63462754
13,1.46792325,1.16406608,1.1222233,0.61835793,0.57316248,0.59553735,0.58952873,0.60257661,0.59587392,0.61093716
14,1.46459356,1.1485759,1.09380647,0.59378276,0.55102412,0.58005661,0.57648304,0.58771398,0.57754907,0.58711452
15,1.40564799,1.11981872,1.05486535,0.57392057,0.52934912,0.55334124,0.55579021,0.56391052,0.55723196,0.56856899
16,1.35508404,1.0975352,1.02671441,0.55737308,0.50957048,0.53877742,0.53439206,0.54960147,0.54251553,0.55080409
