epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
1,1.89585005,1.86326607,1.93693228,2.06450695,1.91648435,1.72609811,1.72941161,1.75266126,1.70928163,1.71053129
2,1.78693987,1.66768466,1.77522453,1.7496763,1.4874084,1.36823955,1.33801652,1.34994423,1.34012826,1.32263237
3,1.75190412,1.59026093,1.66782218,1.58055187,1.23857071,1.13584437,1.12485956,1.13565951,1.13892513,1.11186012
4,1.72842136,1.53974854,1.54855412,1.40738369,1.07344353,1.00577207,1.00007967,1.00065707,1.02631295,0.99521588
5,1.6451459,1.4872769,1.45339404,1.21896242,0.96286941,0.90497501,0.90270844,0.90738754,0.91921432,0.8947282
6,1.59496659,1.43577157,1.37289175,1.11171294,0.8876926,0.83843159,0.84545715,0.83893578,0.85356301,0.83817001
7,1.56757308,1.37202551,1.31343917,1.02618849,0.82408813,0.78055337,0.78857389,0.78475471,0.79793399,0.77848317
8,1.5496376,1.34378595,1.27408486,0.95972625,0.77519931,0.73438463,0.74144506,0.73972365,0.75861603,0.73911185
9,1.54066375,1.30752246,1.23919345,0.90078491,0.73011422,0.69299821,0.70889182,0.70397247,0.71576676,0.70132963
10,1.49944372,1.27836628,1.20278394,0.85156257,0.69904171,0.66034141,0.67624979,0.67561073,0.68754103,0.67285478
11,1.45948712,1.2503257,1.18700216,0.81402507,0.66711711,0.63209826,0.65290089,0.64667784,0.65540504,0.64267068
12,1.43080097,1.21299447,1.15529319,0.77050053,0.63358715,0.60154686,0.61916022,0.61819323,0.62141329,0.6118982
13,1.40378746,1.19238385,1.13223978,0.74428161,0.61436914,0.58185146,0.5948589,0.59744665,0.59946544,0.59053803
14,1.39374255,1.1767461,1.11255451,0.73073828,0.58905121,0.56328695,0.57896865,0.57966808,0.58667144,0.57291854
15,1.37153046,1.15421006,1.08282597,0.68639513,0.56567194,0.54745066,0.55963696,0.55680999,0.56225378,0.55130067
16,1.35028835,1.13398994,1.05979795,0.66523602,0.54892326,0.52305478,0.53678918,0.53862763,0.54082188,0.53471036
17,1.34291136,1.11873878,1.04128013,0.65241448,0.53282904,0.50857974,0.53140541,0.52605229,0.53210848,0.52305307
18,1.33057967,1.09727412,1.01837173,0.62871169,0.51555867,0.49363242,0.51213545,0.51258506,0.52087635,0.50909845
19,1.32444506,1.09106868,1.00658994,0.61418588,0.49987262,0.48333726,0.50387469,0.49735684,0.50817103,0.49943355
