epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
1,1.84923308,1.89347316,2.00076145,1.92648944,1.91783742,1.74795904,1.7307652,1.70312025,1.78235874,1.72002174
2,1.68379617,1.66877519,1.82228447,1.59980443,1.55163291,1.35100266,1.35387014,1.31108901,1.3957081,1.3358795
3,1.6328056,1.54932755,1.71689934,1.33853486,1.29638445,1.12919255,1.13701191,1.12545422,1.16605806,1.12337942
4,1.5990399,1.44926401,1.63436688,1.19575901,1.13694696,1.0079675,1.00431716,1.00804992,1.02690837,1.00077613
5,1.56508461,1.36990403,1.53036389,1.08037015,1.02427943,0.91824317,0.90881439,0.91451972,0.92249801,0.90848575
6,1.54812928,1.33106939,1.44919541,1.00539047,0.94861572,0.84804371,0.83720361,0.83923228,0.85534107,0.8456121
7,1.49812066,1.28822794,1.35614219,0.94294229,0.88827923,0.78403361,0.78333676,0.7870187,0.80064417,0.78955661
8,1.45786492,1.24862962,1.2737482,0.89153135,0.83031287,0.74431054,0.74240185,0.74607707,0.75257205,0.75031984
9,1.43130312,1.20921755,1.22170158,0.84541958,0.79309505,0.70610688,0.70199287,0.70456178,0.71263623,0.71178409
10,1.40239442,1.17835312,1.17617501,0.8086105,0.75875445,0.67953171,0.67051003,0.6765368,0.68198289,0.68352979
11,1.37735148,1.15324961,1.14590402,0.778454,0.72027914,0.64683817,0.64416709,0.64289059,0.65175613,0.65207823
12,1.35915774,1.12229464,1.10694283,0.74290867,0.68084569,0.61281393,0.61220415,0.61413827,0.61576687,0.62282668
13,1.33478915,1.10242828,1.07406587,0.71788983,0.66024986,0.59854284,0.59460822,0.59407441,0.59605723,0.59874173
14,1.32226618,1.08687503,1.04831985,0.69407061,0.64009842,0.57535343,0.57232604,0.57282472,0.5752315,0.58252073
15,1.29829022,1.06114979,1.02019025,0.67091003,0.61500271,0.55318406,0.55220575,0.5521265,0.55626002,0.55959578
16,1.27823386,1.03846622,0.99001728,0.65078811,0.59858538,0.53607947,0.53369702,0.53791746,0.53787451,0.5445602
17,1.26198225,1.02428421,0.97107601,0.63682952,0.58598844,0.52229038,0.52188339,0.5262608,0.52887377,0.52911159
18,1.24469103,1.00105446,0.94879355,0.61918956,0.5661403,0.5032873,0.50430103,0.50735207,0.50936756,0.51269793
19,1.24235339,0.98970607,0.92715129,0.61255352,0.55290298,0.48720593,0.49630031,0.49409423,0.49523728,0.50556022
20,1.22398037,0.96775784,0.90784572,0.58975021,0.53649089,0.47429622,0.48069303,0.48135307,0.47889939,0.48461155
21,1.21473931,0.95669899,0.88956166,0.57799545,0.52582491,0.4669893,0.47033379,0.4695084,0.46706995,0.47159192
22,1.20410149,0.93957453,0.87149678,0.56427932,0.50738111,0.45455679,0.45150073,0.45594556,0.45875575,0.46223131
