epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
1,4.24078195,4.1958363,4.59768079,4.48034685,4.1922881,4.11021614,4.15051227,4.10625657,4.13112483,4.09374775
2,4.07820179,4.01605156,4.358537,4.10051307,3.66588312,3.59170915,3.62376881,3.55604176,3.60496863,3.54231066
3,4.00119443,3.92785138,4.17888741,3.80948801,3.30984481,3.24745468,3.25680854,3.21599567,3.26156824,3.22056038
4,3.88740816,3.84665885,4.07687095,3.45870059,3.00891338,2.95651464,2.96437927,2.92814981,2.99026825,2.96250944
5,3.82186852,3.78251854,3.99802119,3.21218395,2.79466786,2.75963282,2.78780177,2.77189761,2.78850029,2.7735921
6,3.77583565,3.72250871,3.87542437,2.98099656,2.65360548,2.61473414,2.62330456,2.62468106,2.64191173,2.60993358
7,3.7394025,3.66722578,3.76003476,2.80044132,2.51150688,2.47233898,2.48800395,2.49215982,2.50603447,2.47025711
8,3.69752689,3.58625963,3.61998383,2.67412087,2.39613473,2.3726493,2.3853262,2.38217357,2.40591774,2.36548801
9,3.67119298,3.52029331,3.48691534,2.54925336,2.28472923,2.2731936,2.27399526,2.27494355,2.30327008,2.26371521
10,3.6430266,3.46371758,3.367645,2.45217546,2.19181263,2.17865601,2.18854572,2.19629718,2.21202507,2.18323721
11,3.62685482,3.41988651,3.27190985,2.36098194,2.11525633,2.09377334,2.10234262,2.10487315,2.1145034,2.09539095
12,3.60930594,3.3549093,3.19612838,2.27897132,2.04362129,2.02345752,2.0295407,2.03289077,2.04882126,2.02010225
13,3.59415437,3.29179364,3.1103375,2.20414814,1.94862226,1.94931219,1.9539416,1.94989898,1.97768943,1.93950506
14,3.54467735,3.24381213,3.02706599,2.13565624,1.88322038,1.8803565,1.8857026,1.90266597,1.91288205,1.8802737
15,3.50922205,3.20294732,2.95453913,2.06747775,1.8263359,1.81523855,1.8171902,1.83227809,1.84631028,1.8106968
16,3.47957324,3.14868741,2.88145642,1.99274648,1.74025299,1.74185256,1.74571567,1.75102437,1.76888101,1.73371286
17,3.45351774,3.11373244,2.81666431,1.9340428,1.68463788,1.68859657,1.69121492,1.68263942,1.71739998,1.67381141
18,3.43494107,3.07986707,2.76530117,1.87212397,1.62731518,1.61779301,1.62284866,1.63760016,1.65476626,1.61645998
19,3.40818895,3.03867725,2.70942652,1.82292359,1.56846646,1.56505047,1.56106096,1.5786205,1.60490324,1.56063488
20,3.38503724,3.00303867,2.67002837,1.77519278,1.52338343,1.50922278,1.51626536,1.52513235,1.54836412,1.50627465
21,3.33222656,2.95557325,2.62490315,1.72096916,1.45063638,1.44320017,1.45219524,1.46660275,1.50027035,1.44641559
22,3.28188477,2.91280399,2.57902395,1.67593378,1.39922802,1.38938433,1.39540518,1.4097817,1.43110913,1.39408057
23,3.23707719,2.87722828,2.53604459,1.62450036,1.34352931,1.33504985,1.34610352,1.35532493,1.38582826,1.33659874
24,3.2096898,2.83855613,2.49237368,1.58664967,1.29673501,1.28855747,1.29882284,1.31011914,1.33875071,1.29236523
25,3.18118466,2.80474977,2.44285499,1.53005156,1.2498062,1.23092763,1.24204883,1.25851894,1.28670949,1.2407001
26,3.16129138,2.77832362,2.40898581,1.48651369,1.19722449,1.17950494,1.18548511,1.21301198,1.23524285,1.18805879
27,3.14630756,2.74122641,2.37158636,1.44622378,1.15338717,1.12514396,1.12636717,1.15732847,1.18189046,1.13925096
28,3.12453086,2.71308135,2.33523539,1.40262434,1.08469094,1.0684593,1.08152629,1.10300929,1.1239925,1.08207797
29,3.11084933,2.68623856,2.30152456,1.35985373,1.04039833,1.02321367,1.03435901,1.05911528,1.07755789,1.03358213
30,3.09250186,2.65642798,2.26992379,1.31990035,0.9832467,0.96461004,0.9770343,0.99904148,1.0269174,0.98602631
