epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
1,4.29683283,4.21957436,4.40117979,4.40657532,4.38197609,4.17729704,4.09075945,4.1531939,4.13085463,4.12146409
2,4.17440038,4.04330027,4.20795382,4.07202297,3.89092227,3.65713334,3.52986397,3.62785436,3.64500638,3.58734891
3,4.08826065,3.93225918,4.06380302,3.87613681,3.50061575,3.31956319,3.18113135,3.27056993,3.26389519,3.23218834
4,3.99276916,3.80711742,3.94438836,3.60113776,3.18690668,3.05451219,2.90104961,2.99281706,2.99786842,2.95521339
5,3.94554404,3.7452184,3.87645468,3.35872157,2.95308215,2.85961317,2.71757033,2.80855531,2.80788146,2.76985107
6,3.91293517,3.69511322,3.79081865,3.11935682,2.7698939,2.67438068,2.58521242,2.66121612,2.64882939,2.6269783
7,3.87264423,3.65512628,3.69588005,2.94471396,2.62836833,2.52498493,2.45010157,2.53199214,2.52253651,2.49182493
8,3.80948179,3.60066155,3.62791071,2.81510016,2.51088699,2.42884377,2.35239434,2.43308529,2.41344216,2.38193226
9,3.77122937,3.54466731,3.5789113,2.6906426,2.39590088,2.31749441,2.2463777,2.33836955,2.32679871,2.28442444
10,3.730442,3.48286946,3.51134864,2.59184078,2.3113634,2.21976435,2.17131992,2.24330223,2.22794401,2.20514877
11,3.67892439,3.43326944,3.45044853,2.49024084,2.22881147,2.13450549,2.07667037,2.15096097,2.1451937,2.12038256
12,3.64622019,3.38113047,3.39008052,2.41344033,2.15595714,2.0611069,2.02065227,2.07599064,2.07160531,2.04182643
13,3.6222731,3.3427577,3.33394278,2.33108749,2.08261629,1.99058872,1.93184213,1.99929757,1.99564405,1.97261933
14,3.59485522,3.30219579,3.2880248,2.26996134,2.0202649,1.91126636,1.86169603,1.9359858,1.93552555,1.91292487
15,3.5517332,3.26642387,3.24377006,2.19567296,1.96170656,1.83705685,1.7961267,1.86867835,1.86996224,1.83433005
16,3.52112786,3.22083956,3.17897527,2.12367543,1.88491049,1.76156501,1.71415647,1.79339687,1.78860236,1.76676714
17,3.50164019,3.17902271,3.13168731,2.05814846,1.83210368,1.70279017,1.65990755,1.7303913,1.74225566,1.70445824
18,3.48748878,3.13430422,3.07481579,2.00051345,1.77045657,1.63714081,1.60114532,1.66765316,1.68135654,1.64864565
19,3.46189465,3.09607799,3.01969585,1.94552028,1.72104432,1.58149265,1.5367648,1.61034245,1.62703227,1.58561737
20,3.44333928,3.06479395,2.97192626,1.9014715,1.66917595,1.51904708,1.49208463,1.56004145,1.56677998,1.53641181
21,3.40874379,3.0309245,2.91364128,1.85013167,1.61986964,1.45633063,1.43342297,1.50002259,1.51016261,1.47441224
22,3.38259263,2.99026898,2.86246879,1.80558046,1.57616459,1.40719119,1.3708113,1.44189791,1.45379492,1.42802282
23,3.35178284,2.95742601,2.81877122,1.76107037,1.52201783,1.3473109,1.3133831,1.386707,1.39850463,1.36805991
24,3.32637391,2.91314378,2.77750847,1.72340589,1.48478361,1.29821432,1.2644579,1.33104104,1.34927014,1.32687839
25,3.28580668,2.87884863,2.73414577,1.67609659,1.42902516,1.24002326,1.19839449,1.27985363,1.29010259,1.265732
26,3.26198696,2.84189609,2.70040612,1.64163321,1.39555769,1.18185656,1.15233616,1.22789747,1.24724606,1.21650495
