epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
1,4.2466737,4.19113517,4.35112793,4.50543287,4.50155437,4.22264561,4.13249184,4.08277167,4.0968685,4.1056508
2,4.10360358,3.98090297,4.12763774,4.3313484,4.11843008,3.6974126,3.60200548,3.56796776,3.57722408,3.58786931
3,4.01243221,3.89821871,3.99765661,4.27156303,3.83458783,3.33970011,3.2342643,3.20291288,3.22425846,3.24517859
4,3.92187875,3.80150751,3.8869213,4.15392942,3.55321388,3.04955247,2.95265809,2.937064,2.93943974,2.96652986
5,3.83927806,3.73301733,3.8082521,4.00249567,3.27614476,2.85787262,2.7946875,2.75802252,2.76483775,2.7791212
6,3.78044638,3.67725615,3.69072662,3.81322736,3.06264094,2.6859103,2.65551224,2.62348922,2.61979223,2.62661937
7,3.73212122,3.61531716,3.59471649,3.60409408,2.87980871,2.55293222,2.51319591,2.48609206,2.48701846,2.48715947
8,3.68517881,3.5525823,3.52326191,3.41469412,2.73898547,2.43912722,2.39975511,2.3681042,2.39411872,2.40016392
9,3.65037509,3.4905903,3.44164925,3.20912643,2.6114959,2.33910134,2.29860616,2.27087776,2.29592724,2.27934304
10,3.61670546,3.4354752,3.35539015,3.04022563,2.50808842,2.25294525,2.20563927,2.19176217,2.20264534,2.19875188
11,3.59976916,3.37903248,3.27646096,2.87369391,2.40867497,2.16303917,2.12778555,2.10636279,2.13137002,2.1088787
12,3.57632024,3.32637976,3.20311764,2.76141048,2.34264496,2.09398277,2.04092979,2.03058434,2.05678574,2.03769116
13,3.54877311,3.27778911,3.12517634,2.6515746,2.24918344,2.00013108,1.96468859,1.94723315,1.97458861,1.95668092
14,3.50348908,3.23400859,3.06195421,2.55823943,2.18196352,1.93553557,1.89145051,1.88299454,1.90713559,1.88978979
15,3.46634827,3.18824402,3.00654908,2.48084451,2.11507508,1.86643293,1.82592761,1.81673368,1.8517393,1.81828214
16,3.4216312,3.13325533,2.92873152,2.39577629,2.04070972,1.79218074,1.7498695,1.74600773,1.77369045,1.75428963
17,3.39339859,3.08940326,2.8756948,2.32600419,1.98420609,1.73520896,1.69562082,1.68853536,1.71368717,1.68062194
18,3.37148967,3.04992723,2.81473384,2.25730482,1.92124333,1.67561865,1.62970073,1.62248264,1.64827251,1.62475822
19,3.35221191,2.99566435,2.75198824,2.19958815,1.86507682,1.6142478,1.56975543,1.5604323,1.60017683,1.57323194
20,3.33770403,2.95439274,2.70601234,2.15013423,1.81782381,1.56646961,1.51850785,1.50830562,1.5434478,1.52572747
21,3.30491799,2.91171124,2.65543803,2.09179819,1.76218037,1.49638653,1.45378359,1.44338603,1.48701357,1.46606127
22,3.28200211,2.87266534,2.60559285,2.04078218,1.70941088,1.44583036,1.39365313,1.38868094,1.43060552,1.41090161
