epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
1,1.93911041,1.99296255,1.95493221,1.95569629,1.92097622,1.96224949,1.98681873,2.016282,2.00592231,1.96832873
2,1.52299688,1.53736235,1.51677988,1.52178054,1.5135903,1.46311707,1.44442878,1.45739632,1.4621495,1.44651194
3,1.36432323,1.38272072,1.36792377,1.36289668,1.36204872,1.2822352,1.26440071,1.28032733,1.28406073,1.28314645
4,1.25577616,1.27372088,1.27020698,1.26014604,1.25439934,1.1602094,1.15013905,1.1588448,1.15574174,1.16264655
5,1.18193352,1.20549488,1.19687892,1.17351607,1.16411732,1.07149166,1.05789742,1.0775184,1.0677616,1.07543789
6,1.12936019,1.15069084,1.1452056,1.1210508,1.10396958,0.98371961,0.98256681,1.00530247,0.9945654,1.00040561
7,1.08907459,1.10543911,1.09819896,1.05866844,1.04394786,0.92127195,0.93247411,0.94494233,0.93850856,0.94536414
8,1.05642521,1.06645575,1.06474292,1.02076879,0.99613168,0.86939492,0.88244502,0.90497031,0.89040779,0.89784666
9,1.00857478,1.0241978,1.026847,0.98655175,0.95341049,0.82731212,0.84173597,0.8511382,0.85052044,0.8487704
10,0.98913389,1.00325482,0.99056718,0.95516708,0.91897752,0.78764651,0.81146532,0.81371322,0.81007696,0.8088429
11,0.95534137,0.97250076,0.96397844,0.92948506,0.88534446,0.75138698,0.77558527,0.77906495,0.7741295,0.78073379
12,0.93054698,0.94707851,0.93568244,0.90381666,0.85060772,0.71825613,0.74545647,0.74955073,0.74401535,0.74941756
13,0.91045792,0.92036841,0.91962856,0.89060552,0.82061968,0.69416861,0.72681402,0.73099422,0.71852478,0.7213181
14,0.88490246,0.90621052,0.90130761,0.86653388,0.79416907,0.67610233,0.69869625,0.70213992,0.70128865,0.69711452
15,0.86762885,0.8821716,0.87490228,0.84496551,0.76675247,0.64621752,0.67074954,0.67502942,0.67203996,0.67297633
16,0.86233899,0.86508689,0.85466984,0.8217253,0.74040179,0.63141129,0.65260073,0.65567936,0.65079759,0.65185328
17,0.85069426,0.84656084,0.84036044,0.81770318,0.7238174,0.60299037,0.63577355,0.63818167,0.63146728,0.63127604
