epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
1,4.12583658,4.10407733,4.16419273,4.11517569,4.07996117,4.04386635,4.03548475,4.03987892,4.02569309,4.01616475
2,3.46355403,3.44353946,3.53806543,3.47853009,3.42501679,3.32617995,3.29161156,3.25979502,3.25282273,3.23723124
3,3.16520214,3.12244078,3.23736421,3.17137259,3.11609926,2.99537188,2.9330125,2.88152567,2.88385217,2.88951039
4,2.93269294,2.90199742,3.00999142,2.95028566,2.8929825,2.73586747,2.67947182,2.60646903,2.63343816,2.65975535
5,2.77846414,2.73125506,2.82356269,2.77951521,2.73841691,2.53923389,2.46496986,2.40749022,2.43704324,2.47260916
6,2.66302286,2.61445898,2.68563514,2.65513205,2.60767978,2.37908493,2.29117683,2.24907175,2.28135068,2.32181234
7,2.53853823,2.50253706,2.5791188,2.54214594,2.49698172,2.2340928,2.14946031,2.10906989,2.141038,2.19589914
8,2.46598575,2.43486456,2.49096672,2.44608059,2.39181509,2.10785701,2.02169215,1.98088427,2.01860002,2.0637907
9,2.3846523,2.349103,2.40736561,2.35375364,2.30139343,1.98805151,1.89865273,1.87822903,1.89202401,1.95171787
10,2.3226582,2.28153342,2.32545653,2.27428595,2.22076163,1.87488916,1.80518547,1.77240454,1.79557987,1.85212567
11,2.26976855,2.2279373,2.27062551,2.21648185,2.14499846,1.77306819,1.70900987,1.68730389,1.70360806,1.75662754
12,2.19895262,2.16284178,2.21053766,2.14316354,2.06731648,1.67692173,1.60521176,1.59049605,1.6045892,1.66337534
13,2.1518413,2.12680071,2.16383451,2.08660525,2.00709475,1.57225947,1.51391231,1.50874785,1.52260879,1.58382
14,2.10368879,2.07492509,2.12463991,2.04035528,1.95718848,1.48732632,1.42322962,1.43170974,1.43731449,1.50006935
15,2.05969157,2.03852604,2.0662955,1.99110663,1.90769965,1.3898188,1.34657871,1.3564538,1.37460301,1.43018832
16,2.01295799,2.00038491,2.02272762,1.94248207,1.84906192,1.31200813,1.2610569,1.28691495,1.29981933,1.35746316
17,1.97759235,1.96704284,1.99223731,1.89147737,1.79509018,1.22196243,1.19913681,1.21678186,1.23803388,1.28522235
18,1.93623001,1.92478818,1.95035585,1.84475801,1.75353911,1.14646475,1.12387233,1.14354344,1.15971008,1.213774
19,1.91490213,1.89611032,1.9183244,1.82000815,1.70504409,1.06607117,1.06345836,1.08809236,1.10492174,1.1568727
20,1.86571786,1.85587352,1.86905998,1.75913348,1.65044818,1.00183803,0.98586746,1.03514783,1.0497031,1.09441776
21,1.83097746,1.82535078,1.84687971,1.73308977,1.60185349,0.94382897,0.93783753,0.98263015,0.99617944,1.03930432
22,1.80245427,1.78039524,1.80229898,1.69612341,1.56067376,0.87162149,0.87393359,0.92209071,0.94219537,0.98611293
23,1.76380102,1.75522754,1.77413377,1.6585818,1.52037989,0.81569728,0.81526028,0.87941788,0.88938248,0.93038494
24,1.72221515,1.70708328,1.73438592,1.61489723,1.46839417,0.78863212,0.77261405,0.82814495,0.84918816,0.87812434
25,1.69864392,1.68743817,1.70801308,1.58381251,1.43286068,0.72841935,0.73643323,0.7873166,0.80968694,0.84430491
26,1.66307003,1.65087046,1.67123715,1.54514834,1.37899248,0.6906261,0.6994942,0.74778038,0.76447342,0.79637229
27,1.63164591,1.61386489,1.63720542,1.51386388,1.34196142,0.65036261,0.65843282,0.70845365,0.73015221,0.77201513
28,1.5976231,1.59504727,1.6071007,1.48492683,1.30219344,0.62736153,0.63047383,0.68538009,0.7042707,0.72368817
29,1.56520354,1.55632927,1.5748243,1.44797648,1.26284391,0.59554963,0.60205333,0.64471924,0.66177499,0.68405836
30,1.53967343,1.52584253,1.53483111,1.41801306,1.2244102,0.56901181,0.57649686,0.62214636,0.6315816,0.66122486
31,1.50630766,1.49142855,1.51178607,1.38540115,1.17846865,0.53410316,0.54699498,0.58787371,0.61212207,0.63130532
32,1.47266883,1.46058127,1.47183521,1.34761783,1.14027944,0.51871407,0.51629179,0.56338652,0.57615,0.60432173
33,1.44417556,1.42960423,1.44025434,1.31927468,1.09984206,0.49847277,0.50532927,0.53543512,0.55166829,0.57450542
34,1.4090304,1.40467052,1.40809503,1.28527997,1.06785776,0.4845101,0.48656597,0.52038667,0.53931233,0.55585006
35,1.38899273,1.37151233,1.3774918,1.25353687,1.03470064,0.45821966,0.46543686,0.503076,0.51224445,0.52947152
36,1.34345133,1.33339004,1.3424015,1.22003606,0.99607726,0.44513053,0.44832151,0.47932036,0.48723214,0.51027289
37,1.32584552,1.30145549,1.31378846,1.20522315,0.95977405,0.43150255,0.42999161,0.4675805,0.47517144,0.49384643
38,1.30313707,1.28255986,1.29757017,1.17683161,0.94568871,0.42568401,0.42339974,0.44931334,0.46416801,0.48200289
39,1.27650951,1.25545538,1.26512111,1.14604232,0.8996066,0.40850034,0.40034911,0.44133094,0.4558845,0.46645438
40,1.24674425,1.21943435,1.23638968,1.11648701,0.8670994,0.39233122,0.38988651,0.42127575,0.43309909,0.44635268
41,1.22233114,1.19692814,1.21197998,1.08911931,0.83363948,0.37927281,0.38687377,0.40588176,0.41643947,0.43724984
42,1.19116404,1.16817759,1.18158676,1.05619892,0.80748678,0.37037867,0.3648321,0.39860711,0.40201342,0.41954072
43,1.16890379,1.14657093,1.14671309,1.03727466,0.77881012,0.36979802,0.36251835,0.38236868,0.38847465,0.40210913
44,1.13949387,1.1216965,1.12450581,1.01252593,0.75610049,0.35873026,0.3532222,0.38111045,0.39054229,0.40077972
45,1.11485387,1.09695337,1.0921368,0.98274798,0.73381653,0.33628645,0.3348946,0.35829464,0.36517188,0.38274883
46,1.09397642,1.07576717,1.08366646,0.96034879,0.69638446,0.33930748,0.33995415,0.35658321,0.36331973,0.37585462
47,1.06639527,1.04863237,1.04767209,0.939107,0.68317985,0.33038432,0.31653527,0.34228283,0.34158316,0.35627866
48,1.03878011,1.02367753,1.02456133,0.91791845,0.66113449,0.3248923,0.31806203,0.33997277,0.33745706,0.3603513
49,1.02577152,1.00917231,0.99915898,0.89586688,0.64583198,0.30357625,0.30625893,0.32214298,0.33075645,0.34238627
50,0.99647645,0.97127088,0.97008145,0.87052263,0.63147624,0.30006406,0.3014505,0.32083054,0.32508397,0.33590938
51,0.97252411,0.952365,0.94739608,0.84992396,0.60994016,0.29378854,0.29046207,0.30282034,0.31099936,0.32780641
52,0.94492693,0.93188724,0.92529489,0.82632444,0.58754537,0.283229,0.28566937,0.30359232,0.30424642,0.31314575
53,0.94056974,0.9130903,0.91022153,0.80693199,0.5657589,0.27648683,0.27965116,0.29306188,0.30065545,0.30826917
54,0.9070917,0.89572904,0.89249373,0.78603777,0.55709769,0.27303029,0.2697562,0.28669051,0.28566629,0.29818195
55,0.89365416,0.865736,0.86490803,0.76345757,0.54303408,0.27238841,0.26206688,0.27321629,0.28468761,0.29544491
56,0.87273645,0.8463707,0.83858197,0.74718583,0.52869909,0.25576489,0.26282549,0.27223219,0.27417008,0.29075882
57,0.8538314,0.82261988,0.823745,0.72010645,0.50855963,0.25706129,0.24426736,0.26156942,0.27609402,0.27879688
58,0.83710783,0.81214741,0.79815696,0.70753445,0.50581242,0.2448106,0.23929998,0.25862451,0.26191697,0.28090895
59,0.81242788,0.78852083,0.77787529,0.68680327,0.4849724,0.24427376,0.23777308,0.25719857,0.25931091,0.26767768
60,0.79387089,0.77056921,0.76757765,0.67796359,0.46861298,0.24618276,0.23665382,0.24402274,0.2510238,0.25991771
61,0.77460837,0.74568398,0.73964431,0.65276528,0.45256698,0.23647073,0.22721942,0.24336957,0.24529244,0.25052508
62,0.75557869,0.73038067,0.72633666,0.64194537,0.44464568,0.22910805,0.22458758,0.24194834,0.23492286,0.2537951
63,0.73607458,0.71108159,0.70703738,0.62801095,0.42492497,0.21778509,0.22058011,0.22403161,0.23086883,0.2370165
64,0.72360638,0.69530938,0.69765158,0.6033876,0.41526677,0.21851349,0.20555858,0.2239832,0.22856039,0.23791385
65,0.7008338,0.68598335,0.6698133,0.59023888,0.41345956,0.21751953,0.20744994,0.21416932,0.21979203,0.22740781
66,0.69352555,0.66671624,0.66448223,0.57864072,0.40559231,0.20376136,0.19977288,0.21082523,0.21595896,0.22241329
67,0.67911696,0.64312528,0.63940222,0.55905546,0.3887112,0.20753229,0.19406545,0.2134481,0.2147383,0.22164027
68,0.65568006,0.63245508,0.6239858,0.54903183,0.38400047,0.19028284,0.19180352,0.19866651,0.2062143,0.21216421
69,0.63733361,0.6191252,0.60894857,0.5284168,0.37136012,0.2018028,0.1883072,0.20198396,0.19925281,0.20738505
70,0.62869699,0.60437889,0.59218053,0.5166969,0.36683374,0.18740058,0.18531648,0.19416652,0.19428161,0.2007707
71,0.61470686,0.58690177,0.57798082,0.50002316,0.35035824,0.18037991,0.18176214,0.18729018,0.19033433,0.19904256
72,0.58853835,0.57369835,0.56428217,0.49121036,0.34585301,0.18145049,0.17043431,0.18133505,0.18791026,0.19411783
73,0.57980044,0.55930671,0.54917959,0.47313607,0.34385726,0.17550984,0.17374434,0.18431136,0.18790644,0.1922253
74,0.56700136,0.53749502,0.52953806,0.47221331,0.33114409,0.17549207,0.16727666,0.17443844,0.17606288,0.18619015
75,0.55215721,0.53122445,0.52146014,0.4582199,0.3147473,0.17224307,0.16135287,0.17220257,0.17352414,0.18289529
76,0.54684496,0.51321187,0.5120664,0.45012815,0.31059863,0.16521455,0.16236361,0.16338752,0.16822491,0.17660633
77,0.52560533,0.50994416,0.50074242,0.4342815,0.30804435,0.16143935,0.15748813,0.16380549,0.1670656,0.17164124
78,0.52274188,0.49800017,0.49667544,0.41937024,0.29601806,0.15446244,0.1461848,0.15299583,0.15912665,0.17049066
79,0.51162797,0.47436236,0.48308595,0.41421225,0.28069702,0.14760109,0.14131958,0.15314553,0.15952049,0.16560614
80,0.49214327,0.47104053,0.46017551,0.40466346,0.28499674,0.1455356,0.14484839,0.15160727,0.15685221,0.16196504
81,0.4795511,0.45549027,0.45114607,0.38830403,0.27982986,0.14482785,0.14066116,0.14604914,0.14569953,0.15957747
82,0.4755277,0.44461548,0.44520023,0.3880381,0.26773703,0.1345461,0.13090216,0.14783929,0.14353576,0.15176109
83,0.4565854,0.43023614,0.42899361,0.36440423,0.26611742,0.13319859,0.13132193,0.14086984,0.14486639,0.1451995
84,0.43888466,0.42677578,0.41716975,0.36539309,0.25361198,0.13833348,0.12801531,0.13718166,0.14156066,0.14349551
85,0.4341364,0.41082714,0.41429909,0.35110581,0.2502402,0.13393315,0.13028555,0.13130641,0.13462914,0.1433129
86,0.41886761,0.39732044,0.39868534,0.34320574,0.2416548,0.12684286,0.12330603,0.12625413,0.12841592,0.13729055
87,0.40829368,0.38929142,0.39122921,0.33660181,0.24504102,0.1257652,0.11812738,0.12875765,0.13058793,0.13572674
88,0.40651295,0.37921816,0.38115868,0.32583603,0.23579632,0.12445756,0.1202955,0.12471099,0.12479074,0.13155077
89,0.396119,0.37493197,0.37461167,0.32064715,0.2261736,0.11309202,0.11153223,0.12313328,0.12646377,0.12694812
90,0.37786553,0.36829677,0.3572808,0.31156189,0.22225476,0.11403475,0.11099598,0.11442119,0.11490707,0.12388271
91,0.37265198,0.35149654,0.35049302,0.2969609,0.21465468,0.11301738,0.10328196,0.11878936,0.11543371,0.12088261
