epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
1,4.29083454,4.2405646,4.27748688,4.68770838,4.39069249,4.12728781,4.13041529,4.12589968,4.09485849,4.08994863
2,4.15652974,4.09847807,4.07251526,4.33172202,3.95530533,3.60970952,3.59204202,3.65964878,3.56912131,3.56454103
3,4.03827882,4.03452268,3.92569374,4.08400135,3.55143957,3.26826557,3.26070828,3.30815936,3.21978274,3.23447012
4,3.9670085,3.91731202,3.83128871,3.87337584,3.19929655,2.98376882,2.97130228,3.030046,2.94599741,2.95571853
5,3.93505853,3.82463579,3.75375153,3.70075675,2.9656553,2.7685507,2.76762567,2.82579807,2.77488588,2.76722947
6,3.90179363,3.75634044,3.68384663,3.51985185,2.79358154,2.62030809,2.6120719,2.65596146,2.62243024,2.60035663
7,3.8688445,3.71831942,3.61779876,3.3305913,2.64367869,2.49003416,2.48053506,2.51921769,2.48659391,2.48112765
8,3.8177551,3.67854478,3.57001722,3.15566197,2.52986517,2.36878444,2.38050703,2.42703025,2.38547401,2.37136107
9,3.77094788,3.62949238,3.50419735,3.00349218,2.42126151,2.27578314,2.28190451,2.31589698,2.28332282,2.27056911
10,3.73516294,3.57057526,3.43166381,2.85979622,2.32445213,2.19059524,2.19378328,2.23673591,2.20342812,2.17909385
11,3.68136476,3.51665028,3.35392816,2.73735121,2.23702069,2.09632744,2.09932968,2.13793579,2.11503355,2.10627316
12,3.65033859,3.4647803,3.28584762,2.6456402,2.15642377,2.02021281,2.03354383,2.07489376,2.03493454,2.0299936
13,3.62623868,3.41971432,3.22242407,2.55525256,2.07551896,1.93710636,1.95502283,2.00782057,1.96593599,1.95888636
14,3.60489061,3.37578352,3.17388061,2.47250849,2.01097666,1.8755458,1.88459747,1.92879348,1.8949009,1.88161617
15,3.57879218,3.34802744,3.13303594,2.39685314,1.94737177,1.81005251,1.81292564,1.86682533,1.83477133,1.83030243
16,3.53315137,3.31231755,3.08072188,2.32173198,1.8783465,1.7279437,1.73825552,1.79882335,1.76052189,1.75803479
17,3.51100733,3.29037304,3.03607047,2.25298808,1.82893899,1.67080545,1.6813781,1.73309145,1.70811061,1.70798497
18,3.49351649,3.26892735,2.99799756,2.19306124,1.76193172,1.60799608,1.61739648,1.6797129,1.64205648,1.63732714
19,3.46408689,3.22979201,2.95052003,2.13939149,1.7096964,1.54425436,1.55681211,1.61460892,1.57998219,1.58280519
20,3.43789066,3.19530608,2.90321583,2.08887321,1.66351784,1.48246919,1.50705127,1.56217293,1.52609525,1.52941692
21,3.41261037,3.15652098,2.85427944,2.03830534,1.61896439,1.41952252,1.4366354,1.50064546,1.46939236,1.4756465
22,3.39498207,3.12128312,2.81591173,1.98685881,1.56824046,1.3595273,1.38622412,1.44489675,1.41904971,1.4209154
23,3.3710927,3.0877254,2.77990043,1.9404175,1.51163298,1.3018442,1.32669801,1.38584726,1.36112688,1.36250301
24,3.3384423,3.05667412,2.74006699,1.90231421,1.4698828,1.2493953,1.28710124,1.34405819,1.31439041,1.31181864
25,3.31440629,3.02176617,2.70539686,1.85705384,1.4217648,1.18961166,1.22898819,1.28623248,1.25585433,1.26323198
26,3.29768256,2.9994757,2.67368128,1.82446445,1.3780304,1.13443049,1.17619463,1.24354905,1.20402814,1.2179355
27,3.27842151,2.97179913,2.64134677,1.78321953,1.33314868,1.07625077,1.12120178,1.18795579,1.15671038,1.15921795
28,3.26038607,2.94106888,2.6044127,1.72853163,1.28649615,1.01552007,1.06167195,1.1264181,1.10434824,1.1146174
29,3.24515095,2.92314304,2.57628291,1.6983544,1.2526692,0.97285693,1.01052544,1.07827415,1.05423345,1.06881342
30,3.21229413,2.89825866,2.54273057,1.66092101,1.21217284,0.90567728,0.96187268,1.02816893,1.00436635,1.01004142
31,3.19354724,2.87622987,2.51349459,1.61879087,1.16365885,0.85131609,0.91813794,0.97998571,0.95415375,0.9684272
32,3.17668952,2.85378553,2.48417102,1.58676431,1.12119609,0.81260108,0.8659818,0.92994361,0.91041678,0.90765216
33,3.15367457,2.82852339,2.4495501,1.55502016,1.09467877,0.75822375,0.8149391,0.88784326,0.86757247,0.87593985
34,3.12963296,2.80503362,2.4300263,1.52731835,1.06398306,0.72564386,0.77255379,0.83808309,0.82562098,0.84079936
35,3.11549461,2.77928851,2.39984593,1.49235024,1.02181337,0.69173149,0.73566321,0.79473591,0.78145206,0.79843322
36,3.11078228,2.76467996,2.3751449,1.46291527,0.98131309,0.64767988,0.69567457,0.7563008,0.7453406,0.75560913
37,3.08530094,2.73888628,2.34505464,1.42601803,0.9521409,0.61453369,0.66293234,0.72439451,0.70814141,0.71498562
38,3.06294361,2.71112545,2.31768809,1.39607712,0.90427821,0.57241872,0.62701057,0.67765357,0.66570311,0.68477564
39,3.05246287,2.68847842,2.30503524,1.37229912,0.87059212,0.55277665,0.59637836,0.64910936,0.63929777,0.66023541
40,3.04049139,2.66024607,2.27867714,1.33453363,0.83675906,0.52034005,0.5675379,0.61855577,0.60804418,0.62310465
41,3.03154914,2.65951762,2.26778996,1.31570128,0.80921671,0.50933468,0.55219679,0.59033592,0.57783803,0.59771437
42,3.01363001,2.62777628,2.23476193,1.29031224,0.76641699,0.47764749,0.51604893,0.55954618,0.55229246,0.56409545
43,3.0001401,2.60757237,2.21656903,1.25205231,0.73774259,0.4518629,0.49681478,0.54527175,0.52419016,0.54045122
44,2.97944284,2.5919843,2.19283546,1.2306091,0.71092637,0.43042686,0.47407096,0.52004693,0.50502255,0.51924622
45,2.96603978,2.57430119,2.16670564,1.20255422,0.67605558,0.41445582,0.45430021,0.49125187,0.48343285,0.49939604
46,2.96203183,2.56241371,2.15358483,1.17698261,0.64920103,0.39109999,0.43696323,0.47522263,0.46297364,0.47672492
47,2.9479067,2.53943513,2.13077406,1.15311682,0.63205427,0.38329099,0.4250135,0.45366182,0.44949301,0.46210884
48,2.92702018,2.51269056,2.10466512,1.12417879,0.59754423,0.36900563,0.41099652,0.43951898,0.42418551,0.44552767
49,2.91499,2.5038947,2.09161252,1.09688708,0.58090397,0.35453418,0.38779232,0.41851191,0.40974373,0.42609719
50,2.90843641,2.49131946,2.06745001,1.06869581,0.57210223,0.33851773,0.37250846,0.40247599,0.39238468,0.41561327
51,2.89922224,2.47132282,2.04580656,1.04747515,0.55574733,0.32138939,0.35933422,0.38518558,0.38258758,0.39381521
52,2.88722028,2.4541129,2.0263132,1.02181745,0.53560248,0.31644382,0.34885418,0.36806906,0.37454845,0.38270318
53,2.87536219,2.44100141,2.00721903,0.98904179,0.51361039,0.29752123,0.34127982,0.35483338,0.35268289,0.36737383
54,2.87910763,2.43232168,1.99813638,0.97653186,0.50126953,0.28974066,0.32874029,0.3519669,0.34707515,0.3588317
55,2.86104625,2.41945297,1.98523653,0.95116339,0.47760186,0.28775315,0.32011862,0.33399405,0.34032612,0.34406557
56,2.85042768,2.40341645,1.96773871,0.92398502,0.4447773,0.27029312,0.30247084,0.31999052,0.32606998,0.33134891
57,2.83887243,2.3819282,1.93948173,0.89523543,0.41195638,0.26029249,0.28503975,0.30796598,0.30768429,0.31779423
58,2.84014367,2.37588883,1.92926506,0.87272119,0.40661017,0.24809105,0.28289124,0.29032149,0.29851809,0.30948525
59,2.82977774,2.35848523,1.90982194,0.85113802,0.39167199,0.24151392,0.27747489,0.29071883,0.29161022,0.29734477
60,2.82885749,2.34080423,1.89194167,0.82923919,0.37216452,0.23283664,0.26568211,0.27807383,0.27725916,0.29019309
61,2.8159968,2.33357231,1.87456043,0.81164663,0.35942036,0.23035417,0.25320869,0.27464711,0.27035708,0.27925983
62,2.80559003,2.31782218,1.85093585,0.78702783,0.34291105,0.21691383,0.24239229,0.25894073,0.26529037,0.26735253
63,2.80006504,2.3125747,1.85153467,0.76544804,0.33317875,0.21231728,0.24408761,0.25660776,0.26273157,0.26699378
64,2.79117494,2.28902598,1.83382648,0.74027786,0.3284716,0.20575224,0.22592373,0.24322087,0.24427765,0.24997214
65,2.78936711,2.28553259,1.82208974,0.72086781,0.32478956,0.19827315,0.23024939,0.23669734,0.23514985,0.24403855
66,2.77879911,2.27757039,1.80520901,0.70637485,0.30077558,0.19234947,0.21617508,0.23272527,0.23659022,0.23475422
67,2.77166264,2.25825835,1.78929777,0.68618929,0.29314104,0.19222387,0.2126682,0.22580342,0.22221815,0.23644116
68,2.76556088,2.24908105,1.77384871,0.66092374,0.28410193,0.1830883,0.19943877,0.22171202,0.2186169,0.22542677
69,2.75881916,2.24015672,1.77102918,0.64090238,0.27336052,0.17374124,0.20076689,0.20844882,0.21255674,0.21486477
70,2.74624929,2.22329553,1.7514848,0.61883046,0.26788169,0.17185853,0.18892822,0.20317436,0.20556519,0.21366345
71,2.74319617,2.2110848,1.73402687,0.61001889,0.26282287,0.16170883,0.18963065,0.19645185,0.19776013,0.20634361
72,2.73583854,2.20243341,1.72077588,0.58005881,0.24239406,0.15872774,0.17907204,0.18844128,0.19037461,0.19962104
73,2.73417806,2.19060086,1.70308995,0.56557589,0.24999382,0.1548913,0.16921805,0.18410595,0.1877732,0.19262399
74,2.72320645,2.18038311,1.69635859,0.5520033,0.24100631,0.15026792,0.1712925,0.17921128,0.18135903,0.19086739
75,2.71255353,2.17141194,1.68074717,0.5309386,0.22879443,0.14525735,0.16966949,0.17406381,0.17477162,0.18145442
76,2.70951264,2.16105875,1.66518187,0.52361982,0.22565956,0.14056379,0.16238219,0.17143274,0.17428735,0.17359665
77,2.70073983,2.15010258,1.65532176,0.50635167,0.22057212,0.14539302,0.1658116,0.17114518,0.17092152,0.1693346
78,2.69110804,2.13986675,1.64453875,0.49132763,0.21327386,0.13425236,0.15247067,0.16134033,0.16371276,0.1694489
79,2.69059631,2.12945756,1.63478996,0.4805374,0.215071,0.13492179,0.15370141,0.16002049,0.15982959,0.16598203
80,2.68623953,2.12369935,1.62575907,0.4668952,0.20514011,0.12207699,0.14472126,0.15295669,0.15594418,0.16111831
81,2.67700456,2.10721037,1.60590183,0.44918023,0.19963224,0.12364649,0.1440341,0.14865024,0.14963722,0.15337236
82,2.67707305,2.09494516,1.5946847,0.43215379,0.18415839,0.12048102,0.13993417,0.14449171,0.14834659,0.14733216
83,2.66406502,2.09334563,1.57800051,0.41954548,0.18888886,0.11152209,0.13124002,0.14259067,0.13763135,0.14100503
84,2.65951874,2.07491465,1.56649544,0.40476643,0.18197193,0.10955699,0.12842475,0.13429617,0.14211052,0.13863677
85,2.65793654,2.070746,1.55578548,0.39604089,0.17838135,0.11147234,0.12512122,0.13776799,0.13227874,0.13766166
86,2.64121956,2.05344057,1.53941704,0.38733155,0.16871657,0.10763811,0.12094515,0.1283004,0.13151074,0.12935381
87,2.64896876,2.05604993,1.53475942,0.37756069,0.16746014,0.10827339,0.11882345,0.12846171,0.13338017,0.12736717
88,2.63484095,2.036723,1.52186203,0.36362398,0.16055954,0.1001882,0.11431733,0.11961836,0.12270504,0.12240065
89,2.63557832,2.02779048,1.50627032,0.34733962,0.15641649,0.09657986,0.11084407,0.11712034,0.11435521,0.12180019
90,2.62638487,2.02621438,1.4950104,0.34082568,0.15381623,0.09081066,0.10777237,0.11568372,0.11489853,0.11910947
91,2.62633062,2.01029238,1.48416641,0.3293281,0.14560364,0.08742114,0.10438873,0.10942638,0.1099071,0.11782864
92,2.61264084,2.00158061,1.47328743,0.31954595,0.1384937,0.09266956,0.10139189,0.10882158,0.10981235,0.11587782
93,2.62252488,1.99642924,1.46552567,0.31756217,0.13079772,0.08762969,0.10440604,0.10563015,0.10412098,0.1080027
94,2.61320619,1.99431082,1.45748477,0.30504716,0.12957794,0.08586537,0.09893746,0.10747917,0.10317353,0.10901598
95,2.59799411,1.97914993,1.43466315,0.2939524,0.12685287,0.08551156,0.09496347,0.09982943,0.09917309,0.10350631
96,2.60136811,1.96771034,1.43574787,0.28558514,0.12139885,0.07940569,0.09014515,0.0958743,0.09769423,0.100395
97,2.60248725,1.96375277,1.42530046,0.28170595,0.12158565,0.08091739,0.08597173,0.09512182,0.0954758,0.0995888
98,2.59463374,1.95459275,1.40971116,0.27638415,0.11386509,0.07718427,0.08595464,0.09718149,0.09604034,0.09703862
99,2.57536027,1.93352114,1.3924983,0.25993318,0.1118249,0.07185368,0.08339469,0.08971409,0.09092339,0.09380772
100,2.58563951,1.93708175,1.39199712,0.25090795,0.11141611,0.07344763,0.08251458,0.09051057,0.08831949,0.09134118
101,2.57803962,1.92717824,1.37851158,0.24857476,0.10523225,0.06618949,0.07967224,0.08170074,0.08338336,0.08496436
102,2.56970101,1.92147863,1.37225795,0.23952061,0.10384709,0.06701593,0.07755695,0.08372952,0.08500818,0.08491893
103,2.56606214,1.90613021,1.34693143,0.23159873,0.10299457,0.06918772,0.07750985,0.07866167,0.07963719,0.08037575
104,2.55449031,1.89424419,1.34914754,0.22193318,0.09689865,0.06350067,0.07378447,0.07834166,0.07386549,0.08003398
105,2.56026435,1.89197167,1.33207566,0.21131766,0.09218142,0.05909717,0.06741759,0.07529858,0.07658814,0.07741709
106,2.56262847,1.88336908,1.32510009,0.21876742,0.08844498,0.05682246,0.06854599,0.0717551,0.07285886,0.07347199
107,2.55112554,1.87546617,1.31412109,0.20689811,0.08729333,0.05642025,0.06820264,0.06971792,0.0691374,0.07220491
108,2.54885266,1.86406727,1.30218991,0.20310712,0.08213211,0.05750376,0.06469071,0.06790471,0.06746775,0.06892211
109,2.53823563,1.85548368,1.29478391,0.19713667,0.07891368,0.0511396,0.06461082,0.06528098,0.06799773,0.06692733
110,2.53683103,1.85636387,1.28150096,0.19145029,0.07818888,0.04895649,0.06191783,0.06341274,0.06450913,0.06705536
111,2.53828133,1.85330274,1.28145216,0.1829958,0.07593091,0.05084156,0.06014098,0.06010466,0.06588668,0.06469805
112,2.53503045,1.8412833,1.27297897,0.1793794,0.07329235,0.04882667,0.05781186,0.06242907,0.06075243,0.06251295
113,2.5309667,1.83362934,1.26059794,0.17759099,0.07281198,0.04650389,0.05609825,0.06216303,0.05762706,0.06110709
114,2.52698614,1.8300377,1.24564217,0.16718002,0.07089995,0.04559495,0.05267113,0.05679958,0.05584381,0.05577668
115,2.52463548,1.81837917,1.2397997,0.1640111,0.06759727,0.0408078,0.04666633,0.05212461,0.05345822,0.05306647
116,2.51161378,1.8037052,1.223423,0.15809047,0.06319756,0.04327896,0.04736054,0.0515208,0.05422713,0.05376381
117,2.51221901,1.80035339,1.21817455,0.15437624,0.06131432,0.0414008,0.04644223,0.0506699,0.05011944,0.05505823
118,2.50837262,1.79794149,1.21301793,0.15067064,0.06077713,0.03961974,0.04600417,0.048212,0.04660875,0.05168916
119,2.50821804,1.78905979,1.20184781,0.14301048,0.05809766,0.03775099,0.0451929,0.04784626,0.0459069,0.04966378
120,2.5004702,1.78215723,1.19150872,0.13983697,0.05275538,0.03640423,0.04495498,0.04846795,0.04714255,0.04801054
121,2.49678442,1.77117907,1.18309195,0.13653084,0.05398525,0.03620708,0.04186482,0.0452571,0.0434108,0.04711551
122,2.49533103,1.76835013,1.17879776,0.13447756,0.05281589,0.03539166,0.04268115,0.0426066,0.04356399,0.045342
123,2.48800749,1.75974474,1.15896256,0.12269947,0.05433251,0.03177634,0.03813117,0.04264269,0.04416474,0.04260693
124,2.49312561,1.76024819,1.15715727,0.12501553,0.04917073,0.03224071,0.03571395,0.03920426,0.03970757,0.04335639
125,2.48729655,1.75218577,1.15334077,0.11927788,0.04840225,0.03201585,0.03513191,0.0399086,0.03879144,0.0379806
126,2.48222138,1.74542255,1.1434149,0.11530895,0.04810848,0.02764679,0.03916401,0.03570185,0.03497926,0.03790088
127,2.47915792,1.73463033,1.13181784,0.11276499,0.04759933,0.02809797,0.03435368,0.03529273,0.03459074,0.03684014
128,2.47786007,1.72910333,1.12095855,0.10908732,0.04776043,0.02557097,0.03275272,0.03488214,0.03430309,0.03272284
129,2.47015346,1.72441209,1.11459839,0.10378791,0.04299615,0.02559768,0.03411367,0.03502662,0.03394876,0.03216995
130,2.46554875,1.71851616,1.10689842,0.10123926,0.04053093,0.0242151,0.030839,0.03144044,0.03311448,0.03220261
