epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
1,1.85494192,1.88874492,1.94151144,2.05527347,1.83261084,1.7337245,1.74300475,1.73162171,1.73306904,1.74464824
2,1.65413345,1.76772685,1.76804934,1.73609564,1.43312694,1.33947563,1.35017971,1.34968986,1.34901743,1.37662125
3,1.56839466,1.72087212,1.69192613,1.533828,1.19898195,1.13759857,1.15555777,1.14476548,1.14216204,1.15511359
4,1.52978693,1.63168172,1.55749303,1.32554959,1.06484019,1.00924011,1.02467376,1.01507034,1.00958419,1.02612833
5,1.49402745,1.54589685,1.41845333,1.15458589,0.95870488,0.90776027,0.93107331,0.91354246,0.91422766,0.93901847
6,1.47521231,1.47469576,1.34692911,1.04738522,0.88919825,0.83963274,0.86321617,0.84567083,0.84669736,0.86691911
7,1.45527893,1.39652355,1.2840851,0.96833843,0.83235695,0.77586886,0.79912497,0.79603989,0.78928492,0.80284096
8,1.43736028,1.36106147,1.23705172,0.90763717,0.78513102,0.72619924,0.75855922,0.74903273,0.74352287,0.75908951
9,1.4233892,1.32196163,1.19031753,0.85370268,0.74490302,0.69072227,0.71466327,0.71655462,0.70986875,0.71512933
10,1.40495472,1.29164766,1.14556249,0.81920819,0.71457079,0.65652865,0.69067488,0.68220839,0.6836553,0.68175017
11,1.39389392,1.26635706,1.11386821,0.77958101,0.68406723,0.62697915,0.65433974,0.64783732,0.65440599,0.65199394
12,1.38234245,1.23958772,1.07602329,0.74385611,0.65035561,0.60037536,0.62536156,0.62009434,0.62160298,0.62475327
13,1.36245801,1.21462526,1.05082756,0.71976586,0.62866627,0.5767845,0.60273465,0.60342969,0.6035892,0.60490964
14,1.35624081,1.19033145,1.03393972,0.69580752,0.60817772,0.5600601,0.58159536,0.57572552,0.58227743,0.58060381
15,1.33997992,1.15760682,1.004563,0.66916366,0.58549817,0.53637034,0.5595574,0.55780159,0.55668849,0.55984854
16,1.32015133,1.1377417,0.98188704,0.65068896,0.5653305,0.52251474,0.54408918,0.54389227,0.5401776,0.54203438
17,1.30434677,1.11523914,0.96217593,0.63255608,0.55683924,0.50588351,0.52827639,0.52734809,0.52455379,0.53223374
18,1.28711082,1.09510068,0.93913189,0.61521632,0.53921415,0.49422451,0.51470647,0.51169425,0.51338024,0.5159849
19,1.27887426,1.08566075,0.92539243,0.60549707,0.53110213,0.4800952,0.50149159,0.50201159,0.50327398,0.50416493
20,1.25977783,1.06372067,0.90462067,0.58674974,0.50940486,0.46586026,0.48558961,0.48354712,0.48547621,0.48987653
21,1.24882622,1.05299744,0.88823136,0.5774304,0.49716978,0.45235882,0.46958894,0.47527357,0.4793738,0.48907336
