epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
1,4.16502762,4.18316227,4.17670279,4.14475277,4.11605243,4.08732408,4.0909022,4.10003467,4.09685004,4.09995465
2,3.53162002,3.56608686,3.55699272,3.52959928,3.43143869,3.36424843,3.35702405,3.30933621,3.32871791,3.36973187
3,3.21544057,3.25189692,3.25022531,3.21839293,3.0586985,3.02072833,2.98019636,2.93324526,2.96169426,3.00844334
4,2.97564999,3.03142107,3.01624803,2.98343482,2.81422679,2.75734238,2.74311091,2.68928525,2.6959676,2.75144646
5,2.81041841,2.8515846,2.84490077,2.80303456,2.58656092,2.55156735,2.55032799,2.49643684,2.496051,2.53479078
6,2.67617083,2.71876637,2.71794022,2.66549066,2.39894521,2.37851772,2.39530226,2.34357512,2.33742583,2.37117983
7,2.58184524,2.61274723,2.59047705,2.53797098,2.22171887,2.2355211,2.25465756,2.19819155,2.1973978,2.2289394
8,2.50312064,2.52703374,2.50164708,2.43559199,2.08160135,2.12160419,2.13921487,2.0901093,2.09147696,2.11103543
9,2.42868738,2.4368207,2.41097635,2.32792927,1.932329,2.0074119,2.02575426,1.97135413,1.97065364,1.9974637
10,2.36054223,2.37179782,2.3386052,2.24854877,1.8004852,1.89276218,1.92705798,1.87313425,1.87748423,1.89755203
11,2.31397336,2.32370797,2.28919772,2.15747357,1.68546658,1.8123217,1.84306623,1.78386684,1.78854026,1.80888332
12,2.24707886,2.26603507,2.21731864,2.07531023,1.55542398,1.71244984,1.75103921,1.69752452,1.69500305,1.71134406
13,2.20689062,2.22071639,2.16571084,2.00449844,1.42978192,1.63681495,1.67216663,1.61511934,1.61579561,1.63355104
