epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
1,1.99276948,1.97197519,1.93332331,1.96451244,1.99029067,1.96733092,1.96406657,2.03966793,1.98590151,1.96423461
2,1.542118,1.52724475,1.49848509,1.49272339,1.52845546,1.44557529,1.45056462,1.45952775,1.46845027,1.45128207
3,1.39052938,1.36864592,1.34049806,1.3410085,1.34685201,1.27319542,1.28375867,1.27362309,1.29443054,1.27204619
4,1.28322215,1.26195927,1.24510491,1.23202312,1.22790327,1.14581414,1.16531699,1.15730357,1.16234595,1.15455841
5,1.21194953,1.20030725,1.17609801,1.16439922,1.11884679,1.06230817,1.07450405,1.05519073,1.09013913,1.07388362
6,1.14523863,1.13751511,1.12581062,1.09594871,1.04198903,0.98285884,1.00549137,0.98192247,1.01294455,0.9949816
7,1.09218135,1.09386555,1.07729378,1.05147504,0.97606644,0.92077192,0.94549009,0.91895561,0.95773188,0.94309428
8,1.05161941,1.05087411,1.04652505,1.01793796,0.9222469,0.88099383,0.89584624,0.87730808,0.90912712,0.88764304
9,1.01039482,1.02473743,1.00732633,0.969185,0.87197074,0.83376171,0.85759276,0.83760477,0.86559023,0.84600767
10,0.98489148,0.99544701,0.98111193,0.93616166,0.82985387,0.79852537,0.81778604,0.79852938,0.82742416,0.80504568
11,0.94654876,0.96604554,0.9578167,0.90587136,0.78503375,0.76705732,0.78714918,0.76974559,0.79437744,0.77565053
12,0.92558196,0.93936721,0.94385916,0.87300823,0.74635582,0.73705408,0.75577958,0.73710846,0.7634885,0.74011078
13,0.90996718,0.91841599,0.92212652,0.84982155,0.71248254,0.71544173,0.73218193,0.71934844,0.73899692,0.71902943
14,0.88974167,0.90186553,0.89460843,0.82571706,0.68507324,0.6881465,0.70074271,0.69533822,0.70755587,0.69109458
15,0.86381344,0.87607647,0.876243,0.80050712,0.65197085,0.65678252,0.67825202,0.6720413,0.68116771,0.66521611
16,0.85171486,0.86521199,0.86317393,0.78185094,0.62754872,0.64199193,0.66125272,0.65290001,0.66565665,0.64016489
17,0.83793444,0.84240954,0.8443321,0.75479526,0.6012068,0.62151539,0.64366696,0.6262957,0.64069058,0.62840909
18,0.82271079,0.8244395,0.82959127,0.73595963,0.58296912,0.60554915,0.62587006,0.61081828,0.62090181,0.60637535
19,0.81065539,0.80580582,0.81879081,0.71941528,0.55888715,0.58643864,0.60767101,0.59814332,0.60893129,0.59032621
20,0.79804839,0.79638059,0.80799525,0.69710454,0.53704764,0.56554812,0.59938258,0.58023389,0.58315635,0.56887932
21,0.79034616,0.78258803,0.79840674,0.68765937,0.51688331,0.5546489,0.57858747,0.57366706,0.57141473,0.56013635
22,0.77743913,0.76693677,0.78092908,0.67215574,0.49055764,0.5403146,0.56386852,0.55050442,0.55752594,0.53853425
23,0.7653127,0.75524822,0.77560924,0.64867796,0.47982431,0.52146813,0.54607707,0.54367257,0.5465161,0.52515587
24,0.74890295,0.74438057,0.75675493,0.64283971,0.45928878,0.50775726,0.53542058,0.52651357,0.52603717,0.51212799
25,0.74097104,0.73563049,0.74665243,0.62535056,0.43763263,0.50171349,0.51985961,0.51587025,0.51606244,0.50612468
26,0.72476409,0.72180095,0.74124139,0.60990743,0.42171567,0.48064268,0.50792057,0.50450396,0.50290356,0.48654278
27,0.72374965,0.7232396,0.7246681,0.60346354,0.40516947,0.47219135,0.49923326,0.48421933,0.49084955,0.47169837
28,0.70751486,0.70435531,0.70857596,0.58033302,0.38582354,0.46070041,0.48135517,0.4760466,0.47437949,0.45858686
29,0.70497853,0.69666078,0.7091339,0.5716236,0.37647069,0.44840232,0.47267437,0.46072667,0.46674204,0.44754442
30,0.69290959,0.68349549,0.69858419,0.56027384,0.35639416,0.43870364,0.45805752,0.45431592,0.45269188,0.43246391
31,0.67997321,0.67264178,0.68229056,0.54612126,0.34237803,0.42290185,0.44616419,0.44218709,0.43932555,0.42438367
32,0.66749363,0.66316973,0.66895614,0.53470051,0.32656174,0.4134297,0.4371107,0.42399825,0.42652964,0.41127441
33,0.65514548,0.64981232,0.66247435,0.51767238,0.31753409,0.40197854,0.4183476,0.4184324,0.41566289,0.4022404
34,0.65084753,0.64330588,0.65777747,0.51287156,0.30388788,0.38737659,0.41056476,0.40804568,0.40908919,0.39540698
35,0.64204794,0.63483289,0.64365269,0.50271079,0.28777802,0.38617678,0.40822507,0.39966115,0.39046866,0.38645471
36,0.63665394,0.62839044,0.62403269,0.48783953,0.27569221,0.37009025,0.39049797,0.38389635,0.38463938,0.36688601
37,0.62787152,0.62678004,0.62052399,0.48405005,0.26626126,0.36623674,0.38414903,0.37951014,0.37059705,0.36425953
38,0.61108387,0.6137175,0.61100396,0.46465977,0.25449341,0.35351082,0.37350514,0.37058653,0.36529007,0.35151442
39,0.60449007,0.59672104,0.60618451,0.45662954,0.25007143,0.34365005,0.3658199,0.35937833,0.35632428,0.34389153
40,0.60218563,0.59134678,0.59389936,0.44763765,0.23665794,0.33822375,0.35560342,0.34984063,0.34585562,0.33464838
41,0.5879274,0.57953389,0.58274157,0.43521531,0.22387733,0.32654037,0.34181541,0.34043223,0.33248979,0.32451023
42,0.57897599,0.57549553,0.57577148,0.42285415,0.22297314,0.31496991,0.3366458,0.33141159,0.32543523,0.3144193
43,0.56912966,0.56888439,0.57009903,0.42224914,0.20716265,0.30827311,0.32655769,0.3252863,0.31891298,0.3021712
44,0.56360336,0.56063478,0.56327105,0.4064895,0.20467219,0.29993975,0.31878921,0.31378786,0.315354,0.29818008
45,0.56050823,0.55651007,0.54480766,0.39621196,0.19731135,0.28990794,0.30471404,0.30334511,0.30224589,0.29015195
46,0.55267142,0.54980218,0.55061838,0.39153726,0.19427804,0.28470232,0.30373391,0.29519879,0.2937235,0.28495893
47,0.54400139,0.53859716,0.54008356,0.38348765,0.18474749,0.27090539,0.29577634,0.28817868,0.29097685,0.28296011
48,0.53219406,0.5283759,0.52694841,0.37037607,0.18188307,0.26615446,0.28592392,0.27619594,0.27434606,0.2644417
49,0.52741528,0.52719237,0.52512975,0.36302141,0.16839268,0.25778983,0.27235983,0.27665295,0.26920925,0.25940406
50,0.51856362,0.5180429,0.51729408,0.35043297,0.16820205,0.25370279,0.26749553,0.26821742,0.26687601,0.25120696
51,0.51204105,0.5145071,0.50983678,0.34752003,0.16338962,0.24216241,0.26487283,0.25663729,0.25910808,0.2444813
52,0.50943621,0.50298453,0.5019126,0.33818023,0.15654173,0.23753685,0.25525332,0.2514657,0.24701421,0.23791618
53,0.49912707,0.495207,0.49231651,0.32774981,0.15344126,0.22810862,0.24670866,0.24225507,0.24137757,0.23111036
54,0.49306263,0.48848922,0.48621822,0.31812131,0.14715771,0.22564095,0.24713737,0.24017013,0.23702484,0.22465458
55,0.47790437,0.48039938,0.47583819,0.31121117,0.13864144,0.22034781,0.23966873,0.23411374,0.22838789,0.22075329
56,0.47930979,0.47103424,0.46971914,0.30585812,0.13362369,0.20965107,0.23198994,0.22124432,0.22489131,0.21604225
57,0.47382679,0.46772249,0.47016982,0.29854633,0.13519986,0.20622175,0.22407749,0.22139181,0.21411764,0.20623299
58,0.46616997,0.46128105,0.45257929,0.28935128,0.13175411,0.19855797,0.21850805,0.21413304,0.21513295,0.19701777
59,0.45570655,0.45253379,0.45109182,0.28153802,0.12555258,0.19291479,0.21657429,0.20701172,0.20602984,0.19716412
60,0.44997838,0.44838011,0.44299658,0.27853703,0.12446931,0.18817567,0.19943836,0.20088855,0.19934868,0.19111576
61,0.44326744,0.44124602,0.43257959,0.27121456,0.12274442,0.18310521,0.19645994,0.19562184,0.19313756,0.18625233
62,0.43360889,0.432859,0.4335539,0.25702176,0.11890124,0.17499007,0.19270871,0.18995598,0.18769865,0.1781534
63,0.42994803,0.42325776,0.42633451,0.25782782,0.11198362,0.17491123,0.19039651,0.18979815,0.18613837,0.17657531
64,0.42231679,0.41960488,0.41533689,0.25152565,0.11231955,0.16925095,0.18743005,0.17925276,0.17622209,0.16696826
65,0.41373912,0.41346935,0.40970803,0.24244618,0.1071417,0.16240833,0.17914603,0.1765491,0.1744797,0.16374551
66,0.40700743,0.40565591,0.40159971,0.23689857,0.10373444,0.16003863,0.17468153,0.16809312,0.1671208,0.15943345
67,0.40127972,0.40134566,0.39467331,0.2292389,0.09968592,0.15547379,0.1693585,0.16901568,0.16724534,0.15472082
68,0.39760173,0.39173644,0.39219509,0.224151,0.10679039,0.15114009,0.16738009,0.16114548,0.1628322,0.15237041
69,0.39536663,0.38617294,0.38148057,0.21947507,0.09561671,0.14327412,0.16092551,0.15538161,0.15818271,0.15173748
70,0.38281676,0.38213977,0.37865192,0.20806566,0.09267234,0.14570245,0.1566276,0.15460352,0.14980357,0.14221796
71,0.37578715,0.37178273,0.37091479,0.20537869,0.09191462,0.13904545,0.15264646,0.14967033,0.14960543,0.14119176
72,0.36647554,0.37274281,0.36422837,0.20114528,0.08981135,0.13131637,0.14657502,0.14593709,0.13858253,0.13461556
73,0.36362831,0.36229606,0.35721774,0.19102071,0.0854431,0.13227166,0.14267687,0.14159987,0.14240935,0.13356236
74,0.36200754,0.35801496,0.35159992,0.19004043,0.08899574,0.12498814,0.14098513,0.13953173,0.13935616,0.13010521
75,0.35631624,0.353054,0.34285026,0.18258087,0.08010896,0.12304959,0.13699763,0.13507017,0.13223784,0.12845842
76,0.3437153,0.34387597,0.34291942,0.17789517,0.07884803,0.12347407,0.13295385,0.13142582,0.13207134,0.1245666
77,0.33944549,0.33835347,0.33362212,0.16673495,0.07676243,0.11627893,0.12851508,0.1300425,0.12551464,0.1177799
78,0.32995074,0.33256773,0.32987311,0.16539793,0.07556138,0.11501474,0.12610732,0.12535299,0.12488425,0.11653369
79,0.3296894,0.31819675,0.31606977,0.15971802,0.07369238,0.11209635,0.12220078,0.12028314,0.11929265,0.11389341
80,0.32156601,0.32504555,0.31599846,0.1592177,0.07282916,0.10843738,0.11995346,0.11721283,0.11673895,0.10975407
81,0.31457477,0.31980878,0.31209307,0.14526615,0.07026273,0.10219237,0.1154395,0.11234282,0.11083552,0.10600253
82,0.31143247,0.30755389,0.30170018,0.14759745,0.0680844,0.10361467,0.1134051,0.1097534,0.10825001,0.10213574
83,0.30315099,0.30561312,0.3001795,0.14372707,0.06528136,0.09990132,0.10808628,0.10769027,0.1085631,0.10190586
84,0.30132852,0.29781108,0.2964774,0.14087801,0.06418528,0.09912104,0.10699522,0.10924179,0.10724098,0.09738449
85,0.29037073,0.29472812,0.28422361,0.1298375,0.06124645,0.09063635,0.09947952,0.1030246,0.10235057,0.09456466
86,0.2867815,0.28816206,0.28443682,0.13009851,0.06156653,0.08938907,0.10043691,0.1001433,0.09993862,0.09311571
87,0.28497686,0.28477398,0.27504955,0.12890754,0.06235374,0.08985595,0.10127213,0.09850876,0.09923058,0.08652373
88,0.27842754,0.27696015,0.2714237,0.12338773,0.05851499,0.08772225,0.09701517,0.09300748,0.09344851,0.08904656
89,0.26904318,0.27124678,0.26353335,0.12070306,0.05678917,0.08334163,0.09199531,0.09234287,0.09574753,0.08684929
90,0.26552882,0.26799799,0.26366174,0.11741225,0.05502568,0.08270537,0.09003502,0.08605479,0.08795323,0.08119492
91,0.25757964,0.25710231,0.2572324,0.11639797,0.05484255,0.08112913,0.08917616,0.08818157,0.08821055,0.08137769
92,0.25424378,0.25124791,0.24886345,0.11162761,0.0511047,0.0780731,0.08613809,0.0858143,0.08504964,0.07894545
93,0.24706127,0.24907321,0.24757417,0.11074017,0.05036602,0.07423404,0.08345988,0.08187985,0.08160552,0.07560273
94,0.24567739,0.24365197,0.24403891,0.10634014,0.04661882,0.07421892,0.08299603,0.08252637,0.08043444,0.07718981
95,0.23928894,0.23831872,0.23308209,0.1008436,0.04573321,0.07181635,0.07707587,0.08122625,0.07934815,0.0698412
96,0.23761845,0.2361277,0.22967422,0.10030633,0.04639794,0.06862042,0.07581591,0.07886613,0.07605396,0.07215345
97,0.22991207,0.22695055,0.22324088,0.10024444,0.04731055,0.06938953,0.07256195,0.07122458,0.07079377,0.06974373
98,0.22378285,0.22322805,0.21991506,0.0942581,0.04375796,0.06286517,0.07401333,0.07137841,0.07348114,0.06602567
99,0.21996076,0.22304655,0.21243293,0.09176639,0.04740547,0.06337211,0.07217443,0.06811702,0.07239415,0.06651492
100,0.21510236,0.21738832,0.209349,0.08903613,0.0437937,0.06087012,0.06854789,0.0672842,0.06978514,0.06265855
101,0.20673762,0.20872168,0.20510759,0.08464341,0.03719956,0.05971955,0.06286341,0.06660485,0.06282693,0.06360847
102,0.2041532,0.20833877,0.20143333,0.08273844,0.03725927,0.06037482,0.06505241,0.06195178,0.06359411,0.05885457
103,0.20041896,0.19804398,0.19312475,0.08334084,0.03413486,0.05602669,0.06303555,0.0617875,0.06209999,0.05573035
104,0.19606665,0.19243213,0.18988273,0.08010683,0.03486526,0.05520696,0.05822345,0.05836693,0.05840718,0.05805207
105,0.19531094,0.19480605,0.19048304,0.07876645,0.0377094,0.05496275,0.06023967,0.05899174,0.05912992,0.05403418
106,0.18359894,0.18733921,0.18415505,0.07600612,0.03581491,0.05148407,0.05637466,0.05911139,0.05696837,0.05547897
107,0.18696681,0.19114386,0.17949331,0.07504208,0.03133961,0.05064253,0.05560818,0.05717802,0.05665303,0.05009718
108,0.18091172,0.18318548,0.17147186,0.07201713,0.03425072,0.04922343,0.05244632,0.05165981,0.05190314,0.04759259
109,0.17160705,0.1782178,0.1700942,0.06878622,0.0306622,0.04439908,0.05030464,0.05020584,0.05205898,0.04908352
110,0.17347644,0.17211815,0.16869865,0.06889039,0.02888615,0.04614129,0.05062441,0.05198499,0.05121386,0.04404132
111,0.1649971,0.16609193,0.16165644,0.06282199,0.02935931,0.04608614,0.04767111,0.04843728,0.04864761,0.04644139
112,0.16351181,0.16498007,0.1600358,0.06079418,0.02546775,0.04205532,0.04590643,0.04579115,0.04964187,0.04454009
113,0.15831981,0.15959344,0.15291953,0.06201391,0.0271915,0.04210776,0.04644556,0.04430168,0.044294,0.04316126
114,0.15557109,0.15196917,0.14830205,0.06051549,0.02684047,0.0405509,0.04481953,0.04482198,0.04381759,0.04051578
115,0.15318104,0.15435619,0.15047028,0.05705396,0.02659114,0.03995283,0.0420516,0.04347103,0.04188787,0.03943379
116,0.14383417,0.14870783,0.1446954,0.05359357,0.02278022,0.03721635,0.0411746,0.04027654,0.03963186,0.03870765
117,0.14458316,0.14380818,0.13852201,0.05423319,0.02527287,0.03826414,0.03872006,0.04046509,0.03942566,0.03739707
118,0.14275128,0.14115905,0.13921751,0.05390824,0.02272067,0.03337042,0.03684754,0.0386353,0.03676287,0.03818337
119,0.14249844,0.13839847,0.13285257,0.04546824,0.01800482,0.03495006,0.03811622,0.03751212,0.03796964,0.03337448
120,0.13194975,0.13348626,0.13232958,0.05055059,0.0201745,0.03105835,0.03781517,0.0319109,0.03592135,0.03113727
121,0.12733889,0.1378735,0.12886609,0.04682671,0.01888186,0.0304436,0.03394047,0.0378299,0.03474862,0.03020423
122,0.12655399,0.12656336,0.12188615,0.04753624,0.020105,0.03041436,0.03212714,0.03226593,0.03195797,0.02967153
123,0.12209448,0.12747246,0.12157007,0.04060271,0.0174693,0.02928756,0.03531094,0.03181813,0.02969572,0.02821211
124,0.12120226,0.11943828,0.11975631,0.04474066,0.0159389,0.02844343,0.0302379,0.03085603,0.03114623,0.0285675
125,0.11823075,0.11720714,0.11742717,0.03943913,0.01822446,0.02769061,0.03218312,0.02937798,0.02948885,0.02974055
126,0.11226525,0.1138156,0.10808772,0.03819194,0.01520612,0.02371219,0.02660518,0.02684341,0.02963834,0.02517476
127,0.11394252,0.1095163,0.10749245,0.03947748,0.01703984,0.02474402,0.02787453,0.02767448,0.02893396,0.02749439
128,0.1066606,0.11022303,0.10414944,0.03770395,0.01495748,0.02374795,0.02657974,0.02989069,0.02649315,0.02582699
129,0.10518203,0.10724713,0.1023226,0.03424647,0.01550194,0.0226545,0.02635743,0.02605995,0.02608613,0.02332217
130,0.10449132,0.10019112,0.10216243,0.03354665,0.01325384,0.02089754,0.02230855,0.02431351,0.02545,0.02248909
131,0.0988051,0.09978879,0.10005799,0.03071437,0.01433848,0.01918038,0.0242772,0.02397711,0.02363972,0.02067832
132,0.09573886,0.09706517,0.09392385,0.03255844,0.01366448,0.02090514,0.02166936,0.02226907,0.02255779,0.02295766
133,0.09540413,0.09543369,0.08991772,0.0304464,0.01056144,0.02031265,0.02394511,0.02160164,0.02220787,0.01870535
134,0.09120137,0.09367567,0.09049538,0.0300135,0.01100585,0.01806002,0.02217443,0.01820065,0.02075777,0.01958422
135,0.09487563,0.08765997,0.08917544,0.02737314,0.01003193,0.01819636,0.02146318,0.02017597,0.02179957,0.01859118
