epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
1,4.17897526,4.18951206,4.20728707,4.17952414,4.13630304,4.09227547,4.08558792,4.09150956,4.08927432,4.11585822
2,3.55219318,3.58030429,3.57284162,3.58102958,3.48666608,3.34929846,3.3322364,3.33495005,3.3604205,3.34951118
3,3.26686649,3.28758191,3.27973843,3.28573546,3.16945911,2.97527887,2.98155036,2.96812545,3.00733333,2.98892851
4,3.03240434,3.049483,3.04197551,3.04982765,2.93683875,2.69850234,2.74645502,2.70459353,2.7601961,2.71419554
5,2.84205698,2.87475306,2.85099979,2.86958477,2.76488297,2.47021007,2.5524237,2.50372545,2.5569167,2.5120922
6,2.70975366,2.74272713,2.71428956,2.73439066,2.63027092,2.2987003,2.39975304,2.34769974,2.39720547,2.35060144
7,2.59491302,2.62479974,2.59630672,2.61856237,2.49880195,2.16285187,2.26588572,2.20615733,2.26489311,2.19573583
8,2.49818765,2.54215209,2.51283354,2.51466884,2.39296082,2.04346475,2.14622603,2.09228559,2.14127488,2.08274937
9,2.41321282,2.45389296,2.42672879,2.42681827,2.27349383,1.91902309,2.0278311,1.98256403,2.03588964,1.96250229
10,2.34285882,2.36833092,2.3571195,2.3472564,2.18744247,1.81362451,1.92427558,1.88454885,1.92335853,1.86719136
11,2.29914542,2.31808972,2.30645099,2.28595081,2.0880161,1.72204391,1.82674469,1.78614275,1.83434965,1.78081702
12,2.22467756,2.25164625,2.24130339,2.2160927,1.99965338,1.6223445,1.73193005,1.69895324,1.73389219,1.6930645
13,2.19544538,2.20124516,2.19138978,2.16126349,1.90842601,1.54042604,1.65214194,1.61390842,1.66065096,1.60317034
14,2.15341287,2.1554773,2.14614637,2.12035583,1.83682335,1.45510362,1.56461001,1.55336971,1.58677268,1.53933703
15,2.11807382,2.12032977,2.10935496,2.07600511,1.75431757,1.37028193,1.49759046,1.47002266,1.52159262,1.45827015
16,2.06416104,2.06911882,2.05831998,2.02414293,1.67189893,1.2952369,1.41477697,1.40006547,1.4482179,1.39223079
17,2.03221867,2.02767945,2.02599037,1.97913215,1.58804922,1.21880822,1.34145853,1.33472965,1.37674916,1.33345056
18,2.0031413,1.98410677,1.99075693,1.93942543,1.517614,1.15600875,1.28161765,1.28053988,1.31050446,1.26513845
19,1.97344824,1.95789877,1.97117701,1.90383702,1.44335654,1.09121235,1.22285373,1.22424308,1.25516092,1.20498243
20,1.92419334,1.92357524,1.92062738,1.87012954,1.3696526,1.02030545,1.16166362,1.15729227,1.1875137,1.13894469
21,1.90911351,1.8920175,1.88913662,1.82980876,1.29560004,0.96242091,1.09996911,1.10724646,1.13397137,1.09232143
22,1.86562049,1.85400432,1.85536063,1.79097523,1.23676267,0.91996881,1.04624699,1.05733943,1.08390198,1.03762954
23,1.84295945,1.82238202,1.8237533,1.76305307,1.17228,0.86922105,0.99634945,1.01515314,1.02645844,0.98568652
24,1.80036856,1.78007061,1.78804007,1.72322654,1.10296662,0.81931995,0.94783011,0.96077909,0.98292551,0.93856449
25,1.78440651,1.75579954,1.75792879,1.6909134,1.04740391,0.77072938,0.89386884,0.92285069,0.93762877,0.89442272
26,1.75291434,1.72053628,1.72760936,1.64561199,0.99256963,0.72793161,0.85519847,0.87357064,0.88830158,0.84341068
27,1.72419699,1.68914701,1.69963167,1.6164789,0.93811343,0.70353868,0.81264095,0.83833335,0.84296899,0.80894675
28,1.69802529,1.66005543,1.65781779,1.58434448,0.88683012,0.6650314,0.78478182,0.80447522,0.80388837,0.7905268
29,1.65323874,1.63916651,1.63452551,1.55368468,0.84431272,0.63042927,0.74370282,0.75665026,0.77768909,0.74392715
30,1.62806753,1.59581746,1.60652365,1.52558378,0.80405342,0.59988741,0.70354614,0.73708972,0.73781221,0.7189476
31,1.59687163,1.575332,1.57363362,1.48817945,0.76396681,0.5751084,0.68097059,0.70636217,0.71044936,0.68376809
32,1.56894132,1.53387067,1.5413224,1.45064135,0.7206499,0.5514193,0.64350855,0.6770407,0.67564753,0.65564174
33,1.53259726,1.51200691,1.51058427,1.41955549,0.69788853,0.53131037,0.61285433,0.639088,0.65035901,0.63176134
34,1.51564141,1.48681088,1.49385927,1.39742252,0.66714392,0.50459155,0.60159877,0.62914041,0.62498717,0.60547789
35,1.48560805,1.4634748,1.45821773,1.36851349,0.62664962,0.48936976,0.57364252,0.59637912,0.60097329,0.57369203
36,1.44713713,1.42457122,1.42306583,1.32481103,0.59873216,0.46712055,0.54309308,0.57628092,0.56857947,0.56070064
37,1.42113794,1.39426467,1.39685397,1.29520264,0.59032306,0.45757961,0.52743351,0.55452727,0.55440044,0.53387293
38,1.39812074,1.38292502,1.3831024,1.27702868,0.5586054,0.4386229,0.51387693,0.54198841,0.53797791,0.51897179
39,1.3810535,1.34830697,1.34352025,1.23552169,0.53780584,0.43174377,0.49968696,0.51367663,0.51381076,0.50621225
40,1.34843047,1.31482886,1.32281913,1.21391204,0.51776432,0.41348831,0.48154889,0.49223323,0.49400314,0.48357291
41,1.32487275,1.29951557,1.29828969,1.18101777,0.50353782,0.39862907,0.46820493,0.48038409,0.4825232,0.46619224
42,1.29855521,1.27166628,1.26353899,1.16194804,0.4825632,0.38946986,0.44265864,0.47216552,0.46226288,0.44598378
43,1.26865721,1.24142296,1.23851477,1.12816468,0.45340813,0.37080764,0.43111866,0.45971083,0.44578109,0.43799326
44,1.24425269,1.214182,1.22247742,1.10245156,0.45234961,0.37250456,0.43430306,0.43756106,0.43118037,0.42824078
45,1.22184551,1.19778866,1.19159977,1.07381625,0.43596583,0.35259447,0.41033832,0.42672283,0.41821672,0.41424637
46,1.19579372,1.17296303,1.17439331,1.04559361,0.43115569,0.34614535,0.40563247,0.4159897,0.40483915,0.40167873
47,1.16786139,1.14856608,1.1457273,1.01338678,0.4179901,0.33251559,0.37993969,0.39942134,0.40260635,0.38969793
48,1.16006106,1.13199558,1.1368401,0.99874468,0.39352789,0.32712052,0.37975901,0.38434979,0.37860434,0.38371932
49,1.13660387,1.09739543,1.10150149,0.97384009,0.39032111,0.30892893,0.36332181,0.38111124,0.38045434,0.36841421
50,1.10998127,1.08188735,1.07866343,0.94948793,0.38241924,0.30349992,0.35902851,0.37008516,0.36664577,0.36164451
51,1.08593798,1.06515037,1.05606967,0.93062317,0.36974231,0.29872264,0.34543393,0.36093556,0.3540099,0.34900897
52,1.06368066,1.03063674,1.03345505,0.90092413,0.36162493,0.29939308,0.34276422,0.35484283,0.3441561,0.34376027
53,1.05148586,1.01999335,1.02436553,0.87350386,0.35433561,0.28007106,0.32882272,0.34255743,0.33154614,0.32426486
54,1.02156025,0.98947187,0.99434312,0.85673736,0.33841064,0.27948925,0.32062143,0.33004692,0.33090106,0.32577657
55,1.00327207,0.97883502,0.97186603,0.84088631,0.33614317,0.27723074,0.31344747,0.3192041,0.31994037,0.31147345
56,0.97718899,0.95374216,0.95810846,0.81263119,0.32253609,0.26148453,0.30852203,0.31041912,0.31406232,0.30617007
57,0.95851055,0.93245495,0.93290333,0.7915495,0.31293418,0.25635188,0.29647289,0.31273474,0.30949263,0.29010361
58,0.93954388,0.91511809,0.92543919,0.77317252,0.3072417,0.25216809,0.29148913,0.30065921,0.29740152,0.28467052
59,0.91725513,0.8941211,0.90001149,0.75130612,0.29960906,0.24582531,0.27868417,0.28926729,0.2829978,0.28469717
60,0.89698766,0.86925597,0.87067363,0.73120393,0.2900036,0.24177571,0.27744028,0.28716672,0.28208266,0.27255849
61,0.87570629,0.85042505,0.8609285,0.70725836,0.28172233,0.23231104,0.26541571,0.28128972,0.27544058,0.27748021
62,0.85878644,0.83447644,0.8424779,0.6932222,0.27733741,0.22859598,0.25914751,0.27353683,0.27247186,0.25983498
63,0.84999086,0.81293419,0.81740278,0.67458274,0.27356351,0.22317163,0.2514633,0.26865609,0.26207508,0.25712589
64,0.82538617,0.79589819,0.79534836,0.65359488,0.26571198,0.21304966,0.25079285,0.25130346,0.25462752,0.25337355
65,0.80046034,0.77948128,0.78161546,0.64163551,0.25738164,0.21669983,0.23878903,0.2467175,0.24595187,0.24366496
66,0.79899245,0.76061044,0.76804941,0.62385406,0.25521908,0.20008982,0.23853326,0.24126564,0.24201084,0.23226679
67,0.77262775,0.74497309,0.74086999,0.61093108,0.2478176,0.20248264,0.22776954,0.24198493,0.23491965,0.22936468
68,0.75952489,0.72266951,0.72694583,0.59005927,0.24041517,0.19559651,0.22613946,0.23183925,0.22640212,0.2249734
