epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
1,4.14030627,4.1707796,4.14830667,4.11499624,4.11217283,4.02166116,4.03076724,4.02042062,4.02044737,4.03213553
2,3.48467893,3.49349867,3.48082933,3.48394646,3.44162775,3.28621461,3.26449181,3.27755526,3.25986294,3.26326455
3,3.17211442,3.19793417,3.20296266,3.18974629,3.12373837,2.91963385,2.9243977,2.92253876,2.89573781,2.89508239
4,2.95768369,2.97041993,2.97377715,2.97345584,2.89253768,2.66403834,2.66215845,2.66827619,2.65270913,2.64879367
5,2.7724849,2.78661113,2.80014993,2.79237427,2.74344086,2.46878159,2.45284001,2.46007183,2.46186931,2.45408401
6,2.64803041,2.66167134,2.69119592,2.66173726,2.60806074,2.29126109,2.28833,2.30165946,2.31334465,2.29153584
7,2.54504231,2.53393344,2.57131497,2.55558703,2.50880805,2.14636777,2.13740303,2.1579459,2.17439654,2.14982012
8,2.46229738,2.45653475,2.48251322,2.45889394,2.41797386,2.02737655,2.0177409,2.03281415,2.05797634,2.02587814
9,2.3767759,2.37790052,2.38456585,2.36492813,2.31051575,1.90196405,1.90394593,1.91133486,1.93681025,1.91313004
10,2.30765223,2.3074829,2.31232087,2.28986166,2.23662354,1.78297973,1.78902123,1.81453791,1.82914034,1.80382991
11,2.26826431,2.25207678,2.2563173,2.23853596,2.15940275,1.69113383,1.69417315,1.72494183,1.75417197,1.71311756
12,2.19683174,2.18391429,2.18624165,2.16164583,2.07981285,1.5767498,1.58559636,1.62528193,1.65332459,1.61705282
13,2.15197536,2.13818022,2.1250978,2.10724685,2.00452564,1.49333827,1.49974697,1.5533232,1.57376583,1.54124229
14,2.10827715,2.09514037,2.0917657,2.06815083,1.94102656,1.40914411,1.41955848,1.47137811,1.50328466,1.45703619
15,2.07144214,2.05750276,2.04706642,2.02290065,1.8622321,1.32497357,1.34495231,1.39547655,1.43882381,1.38523092
16,2.0269406,2.00963155,2.00138737,1.97900726,1.81038242,1.23198981,1.25475529,1.31955218,1.35603993,1.31490069
17,1.98869169,1.96883353,1.95533371,1.93931775,1.74122875,1.16799807,1.19322164,1.25187842,1.2830612,1.23684906
18,1.93871254,1.92916835,1.9130733,1.88650038,1.67384285,1.10358676,1.11624122,1.18407756,1.22311016,1.17606969
19,1.91243501,1.9152769,1.88342296,1.85705617,1.62190454,1.01883387,1.05034458,1.13133124,1.1650278,1.11751944
20,1.85994119,1.85623383,1.83094997,1.81155713,1.55005287,0.96279995,0.98593163,1.06374388,1.10746734,1.06364038
21,1.82431942,1.8251444,1.80164112,1.78315954,1.49782315,0.89948527,0.92553954,1.02097555,1.05096414,1.0023907
22,1.78752633,1.80241988,1.76998538,1.74622328,1.43988611,0.83965471,0.87616279,0.95711918,0.99547459,0.94703009
23,1.75713862,1.75450852,1.73316795,1.71629377,1.38392866,0.79451509,0.83215363,0.91296971,0.94901199,0.91213717
24,1.71312437,1.72425481,1.69061667,1.66918604,1.33162184,0.74379971,0.77724695,0.86785333,0.89706937,0.8591332
25,1.69642397,1.6908893,1.65883279,1.63812349,1.27782301,0.70659829,0.7402395,0.82745326,0.86464146,0.81492214
26,1.65068523,1.66146832,1.62412237,1.60938107,1.23294354,0.66789238,0.69222848,0.7857832,0.81062179,0.78069204
27,1.60862203,1.62245411,1.58280973,1.57182678,1.17094357,0.63485401,0.66400803,0.73646918,0.76104457,0.72848381
28,1.58874792,1.59698896,1.5437661,1.54182313,1.1323304,0.61223258,0.63935711,0.70347126,0.74091931,0.70749051
29,1.54739367,1.56833612,1.52215934,1.50445542,1.0917253,0.57912445,0.5978722,0.67087003,0.69975377,0.67108358
