epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
1,1.9367738,1.92071137,1.90324839,1.90800404,1.8732413,1.90630915,1.93418589,1.94458551,1.96417807,1.95727996
2,1.51573102,1.51155535,1.48116425,1.50338595,1.45928797,1.42832767,1.42213624,1.41606436,1.43874321,1.41346495
3,1.36092257,1.37585625,1.32966059,1.35154322,1.313929,1.26105421,1.25425754,1.23874971,1.2702677,1.25497607
4,1.26334485,1.27336187,1.23506997,1.25794249,1.20608332,1.14806966,1.13538419,1.12659093,1.14575416,1.13608636
5,1.18663803,1.1963266,1.15850176,1.17165378,1.12643573,1.0617928,1.04208714,1.04494828,1.0510824,1.0435466
6,1.12734556,1.12764047,1.09962793,1.11410447,1.06526459,0.98433,0.96945055,0.97074854,0.97326572,0.97099318
7,1.08292696,1.08320051,1.06020109,1.06932427,1.00531038,0.92610648,0.91528171,0.91059433,0.91062037,0.92305019
8,1.04108069,1.03847502,1.02429013,1.01689957,0.95891162,0.87268049,0.86071732,0.86021242,0.86064678,0.87314127
9,1.01841501,1.00060347,0.99096546,0.99091095,0.92145484,0.82191089,0.81164661,0.81311946,0.81898006,0.83232276
10,0.9879242,0.97950263,0.96862972,0.96090864,0.88857532,0.7884467,0.7838557,0.77911529,0.78496546,0.80155602
11,0.9701135,0.94204128,0.93702832,0.92925355,0.86156802,0.75675992,0.75301425,0.74674455,0.74611672,0.76865003
12,0.94794421,0.91639374,0.91931888,0.90299415,0.83117528,0.73426584,0.72454324,0.71431713,0.72418083,0.73920532
13,0.91958547,0.90302912,0.89710114,0.87199932,0.80757254,0.71055376,0.69925766,0.68582057,0.69739136,0.71744113
14,0.89612303,0.87838677,0.87791647,0.8572332,0.78286025,0.68934487,0.67907049,0.66697069,0.67018471,0.69869365
15,0.87645628,0.86157242,0.86590739,0.82346892,0.75426792,0.65934565,0.65777294,0.64373979,0.6452704,0.66904974
16,0.85985757,0.84360643,0.8427652,0.8102256,0.74252614,0.63776135,0.63385222,0.62270881,0.62689071,0.64747711
17,0.84169024,0.82853726,0.82285764,0.79203864,0.72596699,0.62326022,0.61279083,0.6008409,0.60171526,0.63414741
18,0.82437445,0.81157981,0.81377679,0.77792168,0.70956993,0.60046348,0.59600943,0.58321596,0.59166473,0.61347602
19,0.80942483,0.79624772,0.79468051,0.75491609,0.69444773,0.58191906,0.57553956,0.5698171,0.5734918,0.59428896
20,0.79012657,0.77654755,0.786648,0.74027847,0.68322963,0.56155662,0.5594571,0.55085719,0.55597243,0.57698579
21,0.790388,0.77312326,0.77517102,0.73310124,0.67391114,0.54850153,0.54441458,0.53936162,0.54447962,0.56183433
22,0.77476526,0.75695422,0.76333825,0.71342179,0.65649013,0.53198314,0.53015334,0.51895079,0.52249616,0.54711123
23,0.75746231,0.74560514,0.74982059,0.69880409,0.63985162,0.51904308,0.52019294,0.50405656,0.51093408,0.53613664
24,0.74469021,0.73232653,0.73453644,0.69061238,0.62476747,0.50956795,0.50145653,0.48960218,0.49401504,0.52226767
25,0.73848613,0.72080882,0.72876026,0.67423631,0.61541944,0.48935454,0.48869762,0.4794145,0.48805061,0.50927257
26,0.72186081,0.71061853,0.71675784,0.66093661,0.59816088,0.47396472,0.47880058,0.46491073,0.46824518,0.49139244
27,0.70586304,0.6965582,0.70350644,0.65054804,0.58990497,0.4673129,0.46868201,0.4522665,0.46131126,0.48361767
28,0.70201792,0.69961167,0.68602206,0.6377243,0.58295098,0.45166487,0.45444222,0.44289215,0.4499502,0.46787874
29,0.69195103,0.68276648,0.68644277,0.62546326,0.57302414,0.44618527,0.43860598,0.42586617,0.43395634,0.44972761
30,0.68231344,0.68129785,0.67587702,0.62017903,0.56596062,0.42842753,0.42753283,0.41472921,0.42571508,0.44807137
31,0.6685133,0.66297012,0.66552551,0.60809013,0.55349035,0.41462959,0.41355785,0.40395523,0.41668303,0.4368584
32,0.65516785,0.65928655,0.65149098,0.59516405,0.53834777,0.40807527,0.40724756,0.38877057,0.40106642,0.41676539
33,0.65025138,0.65086988,0.64780603,0.58694539,0.5251927,0.3894287,0.39424147,0.38449282,0.39290098,0.4161167
34,0.64022663,0.64537416,0.63466557,0.58136835,0.52176958,0.38316211,0.38533594,0.36833042,0.37890669,0.40045926
35,0.62520826,0.62421865,0.62535717,0.56392933,0.51356493,0.37004842,0.37021799,0.35635121,0.3685788,0.38970617
36,0.61335683,0.61680258,0.61219368,0.5523136,0.50169904,0.35579339,0.36026643,0.35099287,0.35596799,0.38113707
37,0.61189263,0.60534662,0.60320436,0.55150621,0.49702618,0.34693636,0.35710007,0.33995721,0.35357766,0.37150009
38,0.60029082,0.59768855,0.59338914,0.53344878,0.47972144,0.33444417,0.34536376,0.32943384,0.3447344,0.36208183
39,0.59238334,0.59016762,0.58900195,0.52471286,0.46763428,0.32816601,0.32919203,0.3181925,0.33088163,0.35168462
40,0.58694926,0.58401253,0.57284876,0.52215787,0.45666352,0.31759431,0.3235986,0.31378522,0.32390457,0.343713
